id,standby_skill_set_id,finish_skill_set_id,created_at,updated_at
1,1,1,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
2,1,2,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
3,2,1,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
4,2,2,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
5,3,3,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
6,3,4,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
7,4,3,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
8,4,4,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
9,5,5,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
10,6,5,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
11,7,6,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
12,8,6,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
13,9,7,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
14,9,8,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
15,10,7,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
16,10,9,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
17,11,10,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
18,12,10,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
19,13,1,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
20,13,2,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
21,14,1,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
22,14,2,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
23,15,11,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
24,15,12,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
25,16,11,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
26,16,12,2024-05-17 11:40:31.333644,2024-05-17 11:40:31.333644
