id,weight_blue,weight_green,weight_purple,weight_red,weight_yellow,weight_rainbow,created_at,updated_at
1,100,100,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
2,100,0,0,0,0,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
3,0,100,100,0,0,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
4,0,0,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
5,100,100,0,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
6,100,0,100,0,100,0,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
7,100,100,100,500,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
8,0,0,0,0,0,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
9,100,100,100,100,100,0,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
10,100,100,100,0,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
11,100,0,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
12,0,100,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
13,100,100,100,100,0,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
14,100,100,0,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
15,100,100,100,100,50,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
16,100,50,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
17,50,100,100,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
18,100,100,50,100,100,100,2024-05-17 11:40:31.480533,2024-05-17 11:40:31.480533
