id,comment,required_stone_for_unrelease,created_at,updated_at
1,"Selectable skills: Combo +3, Critical +3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
2,"Selectable skills: Critical +3, Evasion +3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
3,"Selectable skills: Combo +3, Evasion +3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
4,"Selectable skills: Type ATK Boost +5, Super Attack Boost +5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
5,"Selectable skills: Type DEF Boost +5, Recovery +5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
6,"Selectable skills: Combo +3, Critical +3, Evasion +3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
7,"選択可能スキル: 連続攻撃+5, 会心+5, 回避+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
8,"選択可能スキル: 連続攻撃+2, 会心+2",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
9,"選択可能スキル: 連続攻撃+4, 会心+4, 回避+4",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
10,"選択可能スキル: 会心+2, 回避+2",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
11,"選択可能スキル: 連続攻撃+1, 回避+1",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
12,"選択可能スキル: 会心+1, 回避+1",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
13,"選択可能スキル: 属性攻撃UP+5, 属性防御UP+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
14,"選択可能スキル: 連続攻撃+2, 回避+2",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
15,"選択可能スキル: 連続攻撃+4, 回避+4",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
16,"選択可能スキル: 連続攻撃+4, 会心+4",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
17,"選択可能スキル: 属性攻撃UP+5, 治癒+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
18,"選択可能スキル: 連続攻撃+2, 会心+2, 回避+2",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
19,"選択可能スキル: 連続攻撃+1, 会心+1",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
20,"選択可能スキル: 属性攻撃UP+3, 属性防御UP+3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
21,"選択可能スキル: 必殺威力UP+3, 治癒+3",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
22,"選択可能スキル: 必殺威力UP+5, 治癒+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
23,"選択可能スキル: 連続攻撃+5, 会心+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
24,"選択可能スキル: 連続攻撃+5, 回避+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
25,"選択可能スキル: 属性防御UP+5, 必殺威力UP+5",5,2024-05-17 11:39:38.815883,2024-05-17 11:39:38.815883
