id,character_number,name,max_lv,grow_type,start_at,end_at,created_at,updated_at
1001,1,Goku (Youth),12,1,2022-03-09 00:00:00,2022-03-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1002,1,Goku (Youth),12,1,2022-04-01 00:00:00,2022-04-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1003,1,Goku (Youth),12,1,2022-05-01 00:00:00,2022-05-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1004,1,Goku (Youth),12,1,2022-06-01 00:00:00,2022-06-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1005,1,Goku (Youth),12,1,2022-07-01 00:00:00,2022-07-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1006,1,Goku (Youth),12,2,2022-08-01 00:00:00,2022-08-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1007,1,Goku (Youth),12,2,2022-09-01 00:00:00,2022-09-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1008,1,Goku (Youth),12,2,2022-10-01 00:00:00,2022-10-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1009,1,Goku (Youth),12,2,2022-11-01 00:00:00,2022-11-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1010,1,Goku (Youth),12,2,2022-12-01 00:00:00,2022-12-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1011,1,Goku (Youth),12,2,2023-01-01 00:00:00,2023-01-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1012,1,Goku (Youth),12,2,2023-02-01 00:00:00,2023-02-28 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1013,1,Goku (Youth),12,2,2023-03-01 00:00:00,2023-03-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1014,2,Goku,12,3,2023-04-01 00:00:00,2023-04-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1015,2,Goku,12,3,2023-05-01 00:00:00,2023-05-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1016,2,Goku,12,3,2023-06-01 00:00:00,2023-06-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1017,2,Goku,12,3,2023-07-01 00:00:00,2023-07-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1018,2,Goku,12,3,2023-08-01 00:00:00,2023-08-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1019,2,Goku,12,3,2023-09-01 00:00:00,2023-09-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1020,2,Goku,12,3,2023-10-01 00:00:00,2023-10-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1021,2,Goku,12,3,2023-11-01 00:00:00,2023-11-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1022,3,Gohan (Kid),12,4,2023-12-01 00:00:00,2023-12-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1023,3,Gohan (Kid),12,4,2024-01-01 00:00:00,2024-01-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1024,3,Gohan (Kid),12,4,2024-02-01 00:00:00,2024-02-29 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1025,3,Gohan (Kid),12,4,2024-03-01 00:00:00,2024-03-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1026,3,Gohan (Kid),12,4,2024-04-01 00:00:00,2024-04-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1027,3,Gohan (Kid),12,4,2024-05-01 00:00:00,2024-05-31 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
1028,1,Goku (Youth),12,1,2024-06-01 00:00:00,2024-06-30 23:59:59,2024-05-17 11:41:13.166582,2024-05-17 11:41:13.166582
