id,enemy_skill_id,card_category_id,created_at,updated_at
1,3000,1,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
2,4210,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
3,4220,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
4,4230,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
5,4240,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
6,4250,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
7,4260,13,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
8,4600,2,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
9,4610,2,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
10,4630,2,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
11,4640,2,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
12,7000,25,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
13,7010,5,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
14,7020,31,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
15,7030,30,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
16,7040,17,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
17,8700,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
18,8710,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
19,8720,26,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
20,8730,10,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
21,8740,1,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
22,9630,24,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
23,12200,6,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
24,12210,7,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
25,12220,24,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
26,12230,23,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
27,12240,44,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
28,16850,17,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
29,22710,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
30,22710,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
31,22730,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
32,22730,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
33,22750,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
34,22750,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
35,22770,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
36,22770,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
37,22790,16,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
38,22790,29,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
39,21880,32,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
40,21880,52,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
41,26100,32,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
42,28850,31,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
43,28860,31,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
44,29100,72,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
45,29110,25,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
46,29120,80,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
47,29130,73,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
48,29430,72,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
49,29440,72,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
50,30420,38,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
51,30430,38,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
52,31020,26,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
53,31030,26,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
54,31220,6,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
55,31230,6,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
56,31500,26,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
57,31510,61,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
58,32420,41,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
59,32430,41,2024-05-17 11:37:58.869773,2024-05-17 11:37:58.869773
