id,area_id,type,conditions,comment,created_at,updated_at
1,140,AreaCondition::Potential,"{""is_releaseable"":true}",月曜：潜在能力イベ,2016-12-28 01:05:21,2018-01-18 02:17:38
2,141,AreaCondition::Potential,"{""is_releaseable"":true}",火曜：潜在能力イベ,2016-12-28 01:05:21,2018-01-18 02:17:38
3,142,AreaCondition::Potential,"{""is_releaseable"":true}",水曜：潜在能力イベ,2016-12-28 01:05:22,2018-01-18 02:17:38
4,143,AreaCondition::Potential,"{""is_releaseable"":true}",木曜：潜在能力イベ,2016-12-28 01:05:22,2018-01-18 02:17:38
5,144,AreaCondition::Potential,"{""is_releaseable"":true}",金曜：潜在能力イベ,2016-12-28 01:05:22,2018-01-18 02:17:38
6,146,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ,2016-12-28 01:05:22,2018-01-18 02:17:38
7,940,AreaCondition::Potential,"{""is_releaseable"":true}",月曜：潜在能力イベ,2016-12-28 01:05:21,2016-12-28 01:05:21
8,941,AreaCondition::Potential,"{""is_releaseable"":true}",火曜：潜在能力イベ,2016-12-28 01:05:21,2016-12-28 01:05:21
9,942,AreaCondition::Potential,"{""is_releaseable"":true}",水曜：潜在能力イベ,2016-12-28 01:05:22,2016-12-28 01:05:22
10,943,AreaCondition::Potential,"{""is_releaseable"":true}",木曜：潜在能力イベ,2016-12-28 01:05:22,2016-12-28 01:05:22
11,944,AreaCondition::Potential,"{""is_releaseable"":true}",金曜：潜在能力イベ,2016-12-28 01:05:22,2016-12-28 01:05:22
12,946,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ,2016-12-28 01:05:22,2016-12-28 01:05:22
13,149,AreaCondition::Potential,"{""is_releaseable"":true}",全曜日：潜在能力イベ,2017-05-01 09:02:51,2017-05-08 02:15:07
