id,kind,description,conditions,created_at,updated_at
1,1,Amount of Zeni obtained increases by 1%,"{""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
2,0,Drop rates of Training Items increase by 1%,"{""item_type"":""TrainingItem"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
3,0,Drop rates of Support Items increase by 1%,"{""item_type"":""SupportItem"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
4,0,Drop rates of Potential Orbs increase by 1%,"{""item_type"":""PotentialItem"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
5,0,Drop rates of characters increase by 1%,"{""item_type"":""Card"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
6,0,Drop rates of Treasure Items increase by 1%,"{""item_type"":""TreasureItem"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
7,0,Drop rates of Awakening Medals increase by 1%,"{""item_type"":""AwakeningItem"",""benefit_permil"":10}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
8,1,Amount of Zeni obtained increases by 2%,"{""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
9,0,Drop rates of Training Items increase by 2%,"{""item_type"":""TrainingItem"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
10,0,Drop rates of Support Items increase by 2%,"{""item_type"":""SupportItem"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
11,0,Drop rates of Potential Orbs increase by 2%,"{""item_type"":""PotentialItem"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
12,0,Drop rates of characters increase by 2%,"{""item_type"":""Card"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
13,0,Drop rates of Treasure Items increase by 2%,"{""item_type"":""TreasureItem"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
14,0,Drop rates of Awakening Medals increase by 2%,"{""item_type"":""AwakeningItem"",""benefit_permil"":20}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
15,1,Amount of Zeni obtained increases by 3%,"{""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
16,0,Drop rates of Training Items increase by 3%,"{""item_type"":""TrainingItem"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
17,0,Drop rates of Support Items increase by 3%,"{""item_type"":""SupportItem"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
18,0,Drop rates of Potential Orbs increase by 3%,"{""item_type"":""PotentialItem"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
19,0,Drop rates of characters increase by 3%,"{""item_type"":""Card"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
20,0,Drop rates of Treasure Items increase by 3%,"{""item_type"":""TreasureItem"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
21,0,Drop rates of Awakening Medals increase by 3%,"{""item_type"":""AwakeningItem"",""benefit_permil"":30}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
22,1,Amount of Zeni obtained increases by 4%,"{""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
23,0,Drop rates of Training Items increase by 4%,"{""item_type"":""TrainingItem"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
24,0,Drop rates of Support Items increase by 4%,"{""item_type"":""SupportItem"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
25,0,Drop rates of Potential Orbs increase by 4%,"{""item_type"":""PotentialItem"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
26,0,Drop rates of characters increase by 4%,"{""item_type"":""Card"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
27,0,Drop rates of Treasure Items increase by 4%,"{""item_type"":""TreasureItem"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
28,0,Drop rates of Awakening Medals increase by 4%,"{""item_type"":""AwakeningItem"",""benefit_permil"":40}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
29,1,Amount of Zeni obtained increases by 5%,"{""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
30,0,Drop rates of Training Items increase by 5%,"{""item_type"":""TrainingItem"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
31,0,Drop rates of Support Items increase by 5%,"{""item_type"":""SupportItem"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
32,0,Drop rates of Potential Orbs increase by 5%,"{""item_type"":""PotentialItem"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
33,0,Drop rates of characters increase by 5%,"{""item_type"":""Card"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
34,0,Drop rates of Treasure Items increase by 5%,"{""item_type"":""TreasureItem"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
35,0,Drop rates of Awakening Medals increase by 5%,"{""item_type"":""AwakeningItem"",""benefit_permil"":50}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
36,1,Amount of Zeni obtained increases by 6%,"{""benefit_permil"":60}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
37,0,Drop rates of Training Items increase by 6%,"{""item_type"":""TrainingItem"",""benefit_permil"":60}",2024-05-17 11:38:00.072797,2024-05-17 11:38:00.072797
