id,escalation_type,level,card_id,created_at,updated_at
1,5,1,1004220,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
2,5,15,1003210,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
3,12,1,2000641,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
4,12,15,9000041,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
5,19,1,9401361,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
6,19,6,9400511,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
7,19,11,1000361,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
8,19,16,9401531,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
9,19,21,9410221,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
10,26,1,1003321,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
11,26,15,1004251,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
18,40,1,1004361,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
19,40,6,1008941,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
20,40,11,1004351,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
21,40,16,1008931,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
22,40,21,1004341,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
23,40,26,1008921,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
24,47,1,1003301,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
25,47,15,1004651,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
26,54,1,1006681,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
27,54,15,1006701,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
28,61,1,9014531,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
29,61,21,9014511,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
30,68,1,1014671,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
31,68,15,1014681,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
37,82,1,1012711,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
38,82,11,1013481,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
39,82,21,1013941,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
40,82,31,9014701,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
41,82,41,9013961,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
42,89,1,1003771,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
43,89,15,1003311,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
44,96,1,1005631,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
45,96,15,1005301,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
46,103,1,1003071,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
47,103,15,1005731,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
48,110,1,1002801,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
49,110,15,1005051,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
50,117,1,9016061,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
51,117,15,9016131,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
52,124,1,1005271,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
53,124,15,1005281,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
54,131,1,1010351,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
55,131,15,1010361,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
56,138,1,1011331,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
57,138,15,1011341,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
58,145,1,1006411,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
59,145,11,1008711,2024-05-17 11:40:19.386367,2024-05-17 11:40:19.386367
