id,card_id,priority,created_at,updated_at
1,1003211,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
2,1003311,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
3,1003761,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
4,1003801,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
5,1004251,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
6,1004651,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
7,1005001,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
8,1005031,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
9,1005051,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
10,1005281,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
11,1005301,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
13,1005731,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
14,1005741,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
15,1006671,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
16,1006691,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
17,1006701,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
18,1008091,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
19,1008921,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
20,1008931,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
21,1008941,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
22,1009701,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
23,1009711,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
24,1014511,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
25,1010361,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
26,1011341,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
27,1013161,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
28,1014681,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
30,1016101,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
31,1016121,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
32,1016581,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
33,1017161,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
34,1017241,1,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
35,1006211,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
36,1006791,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
37,1007181,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
38,1007391,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
39,1007461,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
40,1008631,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
41,1008711,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
42,1008821,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
43,1008851,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
44,1009091,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
45,1009331,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
46,1009351,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
47,1009431,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
48,1009581,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
49,1009591,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
50,1009641,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
51,1009791,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
52,1009831,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
53,1010261,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
54,1010851,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
55,1010871,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
56,1011061,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
57,1011171,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
58,1011301,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
59,1011321,0,2024-02-27 09:30:35.901179,2024-02-27 09:30:35.901179
