id,name,description,rarity,selling_exchange_point,is_exclusive,created_at,updated_at
1,AGL Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",0,1,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
2,TEQ Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",0,1,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
3,INT Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",0,1,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
4,STR Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",0,1,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
5,PHY Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",0,1,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
6,AGL Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",1,2,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
7,TEQ Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",1,2,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
8,INT Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",1,2,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
9,STR Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",1,2,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
10,PHY Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",1,2,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
11,AGL Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",2,20,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
12,TEQ Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",2,20,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
13,INT Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",2,20,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
14,STR Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",2,20,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
15,PHY Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the hidden potential of certain characters.",2,20,0,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
16,Potential Orb (S),"A sphere of pure Ki with the miraculous power to activate
the Hidden Potential of Goku Jr. and Super Saiyan Goku Jr.
Both these characters can be obtained from the event 
""Dragon Ball GT: A Hero's Legacy"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
17,Potential Orb (M),"A sphere of pure Ki with the miraculous power to activate
the Hidden Potential of Goku Jr. and Super Saiyan Goku Jr.
Both these characters can be obtained from the event 
""Dragon Ball GT: A Hero's Legacy"".",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
18,Potential Orb (L),"A sphere of pure Ki with the miraculous power to activate
the Hidden Potential of Goku Jr. and Super Saiyan Goku Jr.
Both these characters can be obtained from the event 
""Dragon Ball GT: A Hero's Legacy"".",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
19,Potential Orb (S),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Bulma (Youth). 
This character can be recruited from the event 
""Looking For Mr. Right!"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
20,Potential Orb (M),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Bulma (Youth). 
This character can be recruited from the event 
""Looking For Mr. Right!"".",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
21,Potential Orb (L),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Bulma (Youth). 
This character can be recruited from the event 
""Looking For Mr. Right!"".",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
22,Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Gohan (Kid).
This character can be obtained from the event 
""Fierce Battle for Planet Namek!"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
23,Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Gohan (Kid).
This character can be obtained from the event 
""Fierce Battle for Planet Namek!"".",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
24,Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Gohan (Kid).
This character can be obtained from the event 
""Fierce Battle for Planet Namek!"".",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
25,Potential Orb (S),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Burter. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
26,Potential Orb (M),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Burter. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
27,Potential Orb (L),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Burter. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
28,Potential Orb (S),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Guldo. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
29,Potential Orb (M),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Guldo. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
30,Potential Orb (L),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Guldo. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
31,Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Captain Ginyu. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
32,Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Captain Ginyu. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
33,Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Captain Ginyu. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
34,Potential Orb (S),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Jeice. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
35,Potential Orb (M),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Jeice. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
36,Potential Orb (L),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Jeice. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
37,Potential Orb (S),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Recoome. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
38,Potential Orb (M),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Recoome. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
39,Potential Orb (L),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Recoome. 
This character can be obtained from 
""Ginyu Force Special Training"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
40,Potential Orb (S),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Piccolo. 
This character can be obtained from 
""Face-off with the Fearsome Ginyu Force"" Special Event.",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
41,Potential Orb (M),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Piccolo. 
This character can be obtained from 
""Face-off with the Fearsome Ginyu Force"" Special Event.",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
42,Potential Orb (L),"A sphere of pure Ki with the miraculous 
power to activate the Hidden Potential of Piccolo. 
This character can be obtained from 
""Face-off with the Fearsome Ginyu Force"" Special Event.",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
43,Potential Orb (S),"A sphere of pure Ki with the miraculous power to activate the 
Hidden Potential of Trunks (Kid) & Goten (Kid) & Marron.
This character can be obtained from the event 
""Leave It to Us! Little Rangers!"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
44,Potential Orb (M),"A sphere of pure Ki with the miraculous power to activate the 
Hidden Potential of Trunks (Kid) & Goten (Kid) & Marron.
This character can be obtained from the event 
""Leave It to Us! Little Rangers!"".",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
45,Potential Orb (L),"A sphere of pure Ki with the miraculous power to activate the 
Hidden Potential of Trunks (Kid) & Goten (Kid) & Marron.
This character can be obtained from the event 
""Leave It to Us! Little Rangers!"".",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
46,Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Giru. 
This character can be obtained from the event 
""Desert Rescue! Giru Saves the Day!""",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
47,Potential Orb (M),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Giru. 
This character can be obtained from the event 
""Desert Rescue! Giru Saves the Day!""",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
48,Potential Orb (L),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Giru. 
This character can be obtained from the event 
""Desert Rescue! Giru Saves the Day!""",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
49,Potential Orb (S),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Vegeta Jr. and 
Super Saiyan Vegeta Jr. 
Both characters can be obtained from the event 
""Dragon Ball GT: 7 Shadow Dragons Saga"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
50,Potential Orb (M),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Vegeta Jr. and 
Super Saiyan Vegeta Jr. 
Both characters can be obtained from the event 
""Dragon Ball GT: 7 Shadow Dragons Saga"".",1,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
51,Potential Orb (L),"A sphere of pure Ki with the miraculous power to 
activate the Hidden Potential of Vegeta Jr. and 
Super Saiyan Vegeta Jr. 
Both characters can be obtained from the event 
""Dragon Ball GT: 7 Shadow Dragons Saga"".",2,10,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
52,Potential Orb (S),"A sphere of pure Ki with the miraculous power 
to activate the Hidden Potential of Goku (Dokkan Butoden) 
and Vegeta (Dokkan Butoden). Both characters can be 
obtained from the event ""Clash! Dokkan Butoden"".",0,1,1,2024-05-17 11:39:38.853991,2024-05-17 11:39:38.853991
