id,mission_id,item_id,item_type,quantity,card_exp_init,announcement_priority,announcement_label,created_at,updated_at
101,101,10001,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
102,102,10002,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
103,103,10003,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
104,104,10004,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
105,105,10005,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
106,106,10006,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
107,107,10007,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
108,108,10008,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
109,109,10009,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
110,110,10010,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
111,111,10011,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
112,112,10012,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
113,113,10013,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
114,114,10014,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
115,115,10015,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
116,116,10016,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
117,117,10017,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
118,118,10018,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
119,119,10019,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
120,120,10020,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
121,121,10021,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
201,201,10022,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
202,202,10023,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
203,203,10024,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
204,204,10025,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
205,205,10026,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
206,206,10027,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
207,207,10028,Dragonball,1,0,,,2024-04-30 09:29:11.516426,2024-04-30 09:29:11.516426
