id,budokai_help_category_id,num,title,description,created_at,updated_at
1,1,1,Basic Rules,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
2,1,2,Joining a Tournament,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
3,1,3,Tournament Pts,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
4,1,4,Rankings,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
5,1,5,Tiers and Leagues,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
6,2,6,Going Round the Board,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
7,2,7,Events,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
8,2,8,Collecting Pick-Ups,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
9,2,9,Finishing the Game,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
10,3,10,How to Battle,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
11,3,11,Points From Battles,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
12,3,12,Completing a Battle,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
13,4,13,Rewards and Pick-Ups,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
14,4,14,Ranking Rewards,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
15,4,15,Mission Rewards,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
16,1,16,Friends,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
17,1,17,Bonus Points,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
18,1,18,Local Ranking,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
19,4,19,Local Ranking Rewards,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
20,1,20,Win Streak Bonus,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
21,1,21,Ambition,<Not displayed>,2024-04-30 09:32:02.945737,2024-04-30 09:32:02.945737
