id,dot_character_lv_reward_set_id,dot_character_lv,item_id,item_type,quantity,card_exp_init,created_at,updated_at
1,1,1,11,Point::Stone,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
2,1,1,1002640,Card,1,93879,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
3,1,2,11,Point::Stone,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
4,1,2,1002640,Card,1,93879,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
5,1,2,800,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
6,1,2,801,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
7,1,2,802,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
8,1,2,803,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
9,1,2,804,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
10,1,3,11,Point::Stone,3,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
11,1,3,1002640,Card,2,93879,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
12,1,3,800,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
13,1,3,801,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
14,1,3,802,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
15,1,3,803,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
16,1,3,804,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
17,1,3,900,TrainingItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
18,1,3,901,TrainingItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
19,1,3,902,TrainingItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
20,1,3,903,TrainingItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
21,1,3,904,TrainingItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
22,1,4,11,Point::Stone,3,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
23,1,4,1002640,Card,2,93879,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
24,1,4,1002630,Card,1,765122,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
25,1,4,800,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
26,1,4,801,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
27,1,4,802,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
28,1,4,803,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
29,1,4,804,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
30,1,4,900,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
31,1,4,901,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
32,1,4,902,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
33,1,4,903,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
34,1,4,904,TrainingItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
35,1,5,11,Point::Stone,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
36,1,5,1,ActItem,1,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
37,1,5,1,EventkagiItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
38,1,5,2,EventkagiItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
39,1,5,3,EventkagiItem,2,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
40,1,5,1002640,Card,2,93879,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
41,1,5,1002630,Card,2,765122,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
42,1,5,1,PotentialItem,200,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
43,1,5,2,PotentialItem,200,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
44,1,5,3,PotentialItem,200,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
45,1,5,4,PotentialItem,200,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
46,1,5,5,PotentialItem,200,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
47,1,5,6,PotentialItem,100,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
48,1,5,7,PotentialItem,100,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
49,1,5,8,PotentialItem,100,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
50,1,5,9,PotentialItem,100,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
51,1,5,10,PotentialItem,100,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
52,1,5,800,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
53,1,5,801,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
54,1,5,802,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
55,1,5,803,TrainingItem,5,0,2024-02-27 09:30:46.502064,2024-02-27 09:30:46.502064
