id,potential_skill_id,lv,value,created_at,updated_at
101,1,1,2,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
102,1,2,4,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
103,1,3,6,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
104,1,4,8,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
105,1,5,10,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
106,1,6,12,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
107,1,7,14,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
108,1,8,16,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
109,1,9,18,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
110,1,10,20,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
111,1,11,22,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
112,1,12,24,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
113,1,13,26,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
114,1,14,28,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
115,1,15,30,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
116,1,16,32,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
117,1,17,34,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
118,1,18,36,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
119,1,19,38,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
120,1,20,40,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
201,2,1,2,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
202,2,2,4,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
203,2,3,6,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
204,2,4,8,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
205,2,5,10,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
206,2,6,12,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
207,2,7,14,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
208,2,8,16,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
209,2,9,18,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
210,2,10,20,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
211,2,11,22,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
212,2,12,24,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
213,2,13,26,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
214,2,14,28,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
215,2,15,30,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
216,2,16,32,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
217,2,17,34,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
218,2,18,36,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
219,2,19,38,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
220,2,20,40,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
301,3,1,1,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
302,3,2,2,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
303,3,3,3,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
304,3,4,4,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
305,3,5,5,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
306,3,6,6,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
307,3,7,7,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
308,3,8,8,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
309,3,9,9,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
310,3,10,10,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
311,3,11,11,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
312,3,12,12,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
313,3,13,13,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
314,3,14,14,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
315,3,15,15,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
316,3,16,16,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
317,3,17,17,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
318,3,18,18,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
319,3,19,19,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
320,3,20,20,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
401,4,1,5,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
402,4,2,10,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
403,4,3,15,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
404,4,4,20,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
405,4,5,25,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
406,4,6,30,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
407,4,7,35,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
408,4,8,40,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
409,4,9,45,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
410,4,10,50,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
411,4,11,55,2024-02-27 09:32:22.252360,2024-02-27 09:32:22.252360
