id,budokai_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1,1,11,Point::Stone,3,0,Dragon Stone x3,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
2,2,11,Point::Stone,1,0,Dragon Stone x1,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
3,3,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
4,4,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
5,5,11,Point::Stone,3,0,Dragon Stone x3,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
6,6,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
7,7,6,TrainingField,10,0,Gravity Chamber (50G) x10,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
8,8,6,SupportItem,15,0,Senzu Bean x15,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
9,9,7,TrainingField,10,0,Gravity Chamber (150G) x10,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
10,10,19,AwakeningItem,1,0,Supreme Kai x1,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
11,11,11,Point::Stone,5,0,Dragon Stone x5,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
12,12,11,Point::Stone,7,0,Dragon Stone x7,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
13,13,4,SpecialItem,1,0,(Gold) SSR Guaranteed Ticket x1,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
14,14,11,Point::Stone,1,0,Dragon Stone x1,1st World Tournament Mission Rewards,2024-02-27 09:30:23.634552,2024-02-27 09:30:23.634552
