id,max_point,seconds_per_cure_one_point,start_at,end_at,created_at,updated_at
1,5,28800,2022-12-12 00:00:00,2022-12-15 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
2,3,14400,2022-11-04 00:00:00,2022-12-03 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
3,3,28800,2022-12-26 00:00:00,2022-12-31 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
4,5,14400,2022-12-16 00:00:00,2022-12-18 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
5,5,14400,2023-01-01 00:00:00,2023-01-01 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
6,3,28800,2023-01-02 00:00:00,2023-01-07 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
7,5,14400,2023-01-08 00:00:00,2023-01-08 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
8,3,28800,2023-01-09 00:00:00,2023-01-14 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
9,5,14400,2023-01-15 00:00:00,2023-01-15 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
10,3,28800,2023-01-16 00:00:00,2023-01-21 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
11,5,14400,2023-01-22 00:00:00,2023-01-22 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
12,3,28800,2023-01-23 00:00:00,2023-01-28 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
13,5,14400,2023-01-29 00:00:00,2023-01-29 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
14,3,28800,2023-01-30 00:00:00,2023-02-04 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
15,5,14400,2023-02-05 00:00:00,2023-02-05 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
16,3,28800,2023-02-06 00:00:00,2023-02-11 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
17,5,14400,2023-02-12 00:00:00,2023-02-12 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
18,3,28800,2023-02-13 00:00:00,2023-02-18 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
