id,description,created_at,updated_at
1000,{center:begin}{size: 25}Try tapping a Ki Sphere.{size}{center},2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1010,"{center:begin}{size: 35}About Ki Spheres{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_001.png} 
{size: 25}Collecting Ki Spheres increases 
a character's {color : #FF9900}Ki and ATK{color}, which results in 
more damage dealt to the enemy.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1011,"{center:begin}{size: 35}About Ki Spheres{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_002.png} 
{size: 25}You can {color : #FF9900}collect multiple Ki Spheres 
of the same color{color} if they are 
next to one another.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1012,"{center:begin}{size: 35}About Ki Spheres{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_003.png} 
{size: 25}If the collected Ki Spheres are the 
same color as the character's Type, 
you'll receive {color : #FF9900}double the amount of Ki{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1020,"{center:begin}{size: 35}About Super Attacks{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_004.png} 
{size: 25}The character can perform a {color : #FF9900}Super Attack{color} 
if enough Ki has been accumulated.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1021,"{center:begin}{size: 35}About Super Attacks{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_005.png} 
{size: 25}Super Attacks deal {color : #FF9900}great damage{color} 
to enemies. Some can also inflict 
{color : #FF9900}a variety of extra effects{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1030,"{center:begin}{size: 25}Goku is a {color : #FF9900}PHY Type{color} character, 
so by collecting the corresponding 
{color : #FF9900}orange Ki Spheres{color}, he will acquire 
double the usual amount of Ki.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1100,"{center:begin}{size: 35}About Type Match-Ups{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_009.png} 
{size: 25}If your character's {color : #FF9900}Type is advantageous 
against the enemy{color}, the character will 
be able to {color : #FF9900}guard and reduce damage 
taken from the enemy attack{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1101,"{center:begin}{size: 35}About Type Match-Ups{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_008.png} 
{size: 25}In addition, if your character's Type is 
advantageous against the enemy, the 
{color : #FF9900}damage dealt to the enemy will increase{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1102,"{center:begin}{size: 35}About Type Match-Ups{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_010.png} 
{size: 25}This time the enemy is an {color : #9900FF}INT Type{color} 
character, so {color : #FF9900}PHY Type{color} characters 
are advantageous against him.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1110,"{center:begin}{size: 35}About Attack Order{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_006.png} 
{size: 25}The {color : #FF9900}enemy and ally icons at the 
bottom of the screen{color} represent the 
order in which characters will attack. 
Attacks will proceed from {color : #FF9900}left to right{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1111,"{center:begin}{size: 35}About Attack Order{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_007.png}{center}
{size: 25}For example, this battle will proceed as follows: 
1) Raditz will attack Goku 
2) Goku will attack Raditz 
3) Piccolo will attack Raditz{size}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
1120,"{center:begin}{size: 25}In order to guard against Raditz's attack, 
swap Goku and Piccolo's positions.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2000,"{center:begin}{size: 35}About Training{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_011.png} 
{size: 25}You can train characters to raise 
their level and {color : #FF9900}increase their stats{color}. 
Once characters have reached max level, 
you can {color : #CC33FF}Awaken{color} them to 
increase their strength further.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2010,"{center:begin}{size: 35}About Training Locations{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{size: 25}By using a Training Location, you can 
train a character more effectively.{size} 
{initialImage: layout/image/tutorial/tutorial_ex_016.png} 
{size: 25}For example, using ""King Kai's Planet (10G)"" 
will result in the Training being a {color : #FF9900}Big Success{color}, 
which {color : #FF9900}grants an extra 20% EXP{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2020,"{center:begin}{size: 25}First up, select a Training Location.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2030,"{center:begin}{size: 25}Next, select the Training Partners 
and Training Items.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2040,"{center:begin}{size: 35}Training Partners and 
Training Items{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_017.png} 
{size: 25}Undergoing Training consumes 
{color : #FF9900}Training Partners{color} and {color : #FF9900}Training Items{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
