id,name,kana,description,need_link_num,link_skill_lv_up_prob_set_id,created_at,updated_at
1,High Compatibility,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
2,Courage,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
3,The Students,,DEF +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
4,The Innocents,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
5,Crane School,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
6,Demonic Ways,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
7,Demonic Power,,ATK +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
8,Brainiacs,,ATK & DEF +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
9,Golden Warrior,,All enemies' DEF -5% and Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
10,Money Money Money,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
11,Evil Autocrats,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
12,Flee,,Ki +1 when HP is 30% or below,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
13,Telekinesis,,All enemies' DEF -10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
14,More Than Meets the Eye,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
15,Hero,,DEF + 20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
16,Supreme Warrior,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
17,Gentleman,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
18,Brutal Beatdown,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
19,Messenger from the Future,,ATK +5%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
20,World Tournament Reborn,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
21,New,,ATK +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
22,Saiyan Warrior Race,,ATK +5%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
23,All in the Family,,DEF +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
24,Telepathy,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
25,Respect,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
26,Prodigies,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
27,World Tournament Champion,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
28,Metamorphosis,,Recover 5% HP,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
29,Super Saiyan,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
30,Experienced Fighters,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
31,Twin Terrors,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
32,Coward,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
33,Attack of the Clones,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
34,The Saiyan Lineage,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
35,Android Assault,,DEF +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
36,Turtle School,,ATK & DEF +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
37,Solid Support,,ATK +10% and all enemies' DEF -15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
38,Mechanical Menaces,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
39,Cold Judgment,,DEF +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
40,Royal Lineage,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
41,The Ginyu Force,,ATK + 25%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
42,Infighter,,ATK +10% and all enemies' DEF -10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
43,Frieza's Minion,,ATK +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
44,Champion's Strength,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
45,Z Fighters,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
46,Dodon Ray,,ATK +10% when performing a Super Attack,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
47,Kamehameha,,ATK +5% when performing a Super Attack,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
48,Namekians,,Recover 5% HP,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
49,Berserker,,ATK +20% when HP is 50% or below,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
50,Big Bad Bosses,,ATK & DEF +25% when HP is 80% or below,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
51,Frieza's Army,,DEF +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
52,Tough as Nails,,DEF +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
53,Speedy Retribution,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
54,Tag Team of Terror,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
55,RR Army,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
56,Gaze of Respect,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
57,Bombardment,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
58,Over 9000,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
59,Universe’s Most Malevolent,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
60,Shocking Speed,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
61,Family Ties,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
62,Team Bardock,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
63,Saiyan Pride,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
64,Battlefield Diva,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
65,Revival,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
66,Dismal Future,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
67,Organic Upgrade,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
68,Resurrection 'F',,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
69,Patrol,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
70,Warrior Gods,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
71,Super-God Combat,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
72,New Frieza Army,,ATK & DEF +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
73,Loyalty,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
