id,name,description,rarity,selling_exchange_point,created_at,updated_at
1,World Tournament Ticket,"A Summon Ticket rewarded at the World Tournament. 
5 tickets are required to perform one 
World Tournament Ticket Summon.",2,2,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
2,World Tournament Ticket,"A Summon Ticket earned as a reward at the World Tournament. 
1 ticket is required to perform a Single-Summon 
in the ""World Tournament Ticket Summon"".",3,10,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
3,SSR Guaranteed Ticket,"An SSR Guaranteed Ticket. 
Collect 5 to claim one SSR 100% Summon.",2,200,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
4,SSR Guaranteed Ticket,"An SSR Guaranteed Ticket.
Use 1 to perform an SSR-guaranteed summon.",3,1000,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
5,SR or Higher Summon Ticket,"An SR or higher guaranteed Summon Ticket.
Use one to claim one SR or higher guaranteed Summon.",3,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
6,SSR Guaranteed Ticket,"""Returning Exclusive"" SSR Guaranteed Ticket.
One SSR character guaranteed for a Single-Summon.",3,10000,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
7,SSR Guaranteed Ticket,"""Ranking No.1 Celebration"" SSR Guaranteed Ticket.
One SSR character guaranteed for a Single-Summon.",3,10000,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
8,応募証明書,7777フィギュアプレゼントキャンペーンに↵応募していることを証明するもの。↵30thコインと交換で入手することが可能。,3,0,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
9,フィギュア獲得権,第13回天下一武道会100位入賞の報酬↵コラボプレミアムver.,3,0,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
10,Special Summon Ticket,"Summon ticket for ""150M Global DLs Celebration."" 
It allows you to perform a single Special Summon. 
Valid until 5/22 21:59 PST.",3,50,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
11,2nd Anniversary Daily Summon Ticket (Day 1),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/07 (16:00) to 7/08 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
12,2nd Anniversary Daily Summon Ticket (Day 2),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/08 (16:00) to 7/09 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
13,2nd Anniversary Daily Summon Ticket (Day 3),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/09 (16:00) to 7/10 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
14,2nd Anniversary Daily Summon Ticket (Day 4),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/10 (16:00) to 7/11 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
15,2nd Anniversary Daily Summon Ticket (Day 5),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/11 (16:00) to 7/12 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
16,2nd Anniversary Daily Summon Ticket (Day 6),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/12 (16:00) to 7/13 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
17,2nd Anniversary Daily Summon Ticket (Day 7),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/13 (16:00) to 7/14 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
18,2nd Anniversary Daily Summon Ticket (Day 8),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/14 (16:00) to 7/15 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
19,2nd Anniversary Daily Summon Ticket (Day 9),"A daily Summon ticket to mark our 2nd Anniversary Celebration.
This ticket allows you to perform a single 
""2nd Anniversary Celebration Daily Summon"".
Valid from 7/15 (16:00) to 7/16 (15:59).""",2,500,2024-02-27 09:32:36.759193,2024-02-27 09:32:36.759193
