id,achievement_category_id,name,description,rarity,width,height,text_color,frame_image_name,link_to,priority,open_at,end_at,created_at,updated_at
1,8,A Gloomy Parallel World,Clear all stages of Area 1 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:1,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
2,8,The Ultimate Life Form!,Clear all stages of Area 2 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:2,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
3,8,A Call to Arms,Clear all stages of Area 3 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:3,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
4,8,The Emperor's Wrath,Clear all stages of Area 4 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:4,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
5,8,The Dreaded Ginyu Force,Clear all stages of Area 5 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:5,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
6,8,The Androids Attack!,Clear all stages of Area 6 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:6,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
7,8,Assault of the Saiyans!,Clear all stages of Area 7 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:7,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
8,8,Merciless Frieza,Clear all stages of Area 8 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:8,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
9,8,"Arise, Saiyan Prince",Clear all stages of Area 9 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:9,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
10,8,Red Ribbon Machinations,Clear all stages of Area 10 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:10,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
11,8,Unknown Saiyans,Clear all stages of Area 11 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:11,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
12,8,Terror Returns,Clear all stages of Area 12 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:12,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
13,8,When Warriors Collide,Clear all stages of Area 13 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:13,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
14,8,The Ultimate Android,Clear all stages of Area 14 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:14,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
15,8,Distorted Destiny,Clear all stages of Area 15 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:15,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
16,8,Reunited,Clear all stages of Area 16 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:16,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
17,8,Frieza's Menace!,Clear all stages of Area 17 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:17,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
18,8,The Epic Attack and Defense,Clear all stages of Area 18 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:18,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
19,8,Stop the Majin's Revival!,Clear all stages of Area 19 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:19,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
20,8,Plot of Darkness,Clear all stages of Area 20 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:20,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
21,8,Omen of Brutal Brawl,Clear all stages of Area 21 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:21,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
22,8,A New Threat,Clear all stages of Area 22 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:22,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
23,8,Stop Cell's Perfect Form!,Clear all stages of Area 23 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:23,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
24,8,Ambitious Androids,Clear all stages of Area 24 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:24,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
25,8,Signs of Invasion,Clear all stages of Area 25 on all difficulties in Quest.,0,0,0,0,normal_bronze,internal:AdventureAreaMapScene:25,1,2022-03-09 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:19.817621,2024-02-27 09:30:19.817621
