id,card_id,standby_skill_set_id,created_at,updated_at
1,1026390,1,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
2,1026391,2,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
3,1025730,3,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
4,1025731,4,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
5,1025770,5,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
6,1025771,6,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
7,1026530,7,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
8,1026531,8,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
9,1026900,9,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
10,1026901,10,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
11,1027290,11,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
12,1027291,12,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
13,9526390,13,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
14,9526391,14,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
15,1027620,15,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
16,1027621,16,2024-04-30 09:31:53.430734,2024-04-30 09:31:53.430734
