id,escalation_type,level,enemy_skill_id,created_at,updated_at
1,7,1,1000001,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
2,7,3,1000002,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
3,7,5,1000003,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
4,7,10,1000004,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
5,7,15,1000005,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
6,7,20,1000006,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
7,7,25,1000007,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
8,7,30,1000008,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
9,7,4,1000009,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
10,7,8,1000010,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
11,7,13,1000011,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
12,7,20,1000012,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
13,7,1,1000013,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
14,7,15,1000014,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
15,7,25,1000015,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
16,7,1,1000016,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
17,7,10,1000017,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
18,7,15,1000018,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
19,7,20,1000019,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
20,7,30,1000020,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
21,7,3,1000021,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
22,7,15,1000022,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
23,7,5,1000023,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
24,7,20,1000024,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
25,14,1,1000002,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
26,14,3,1000003,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
27,14,5,1000004,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
28,14,10,1000005,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
29,14,15,1000006,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
30,14,20,1000007,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
31,14,25,1000025,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
32,14,30,1000008,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
33,14,4,1000026,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
34,14,8,1000027,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
35,14,13,1000028,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
36,14,20,1000029,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
37,14,1,1000030,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
38,14,15,1000031,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
39,14,25,1000032,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
40,14,1,1000033,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
41,14,10,1000034,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
42,14,15,1000035,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
43,14,20,1000036,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
44,14,30,1000037,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
45,14,3,1000021,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
46,14,15,1000022,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
47,14,5,1000023,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
48,14,20,1000024,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
49,21,1,1000038,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
50,21,6,1000039,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
51,21,11,1000040,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
52,21,16,1000001,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
53,21,21,1000002,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
54,21,31,1000003,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
55,21,40,1000004,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
56,21,50,1000005,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
57,21,60,1000006,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
58,21,70,1000007,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
59,21,77,1000025,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
60,21,8,1000041,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
61,21,23,1000042,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
62,21,45,1000043,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
63,21,60,1000044,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
64,21,1,1000045,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
65,21,11,1000046,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
66,21,21,1000047,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
67,21,31,1000048,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
68,21,50,1000049,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
69,21,1,1000050,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
70,21,6,1000051,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
71,21,16,1000052,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
72,21,21,1000053,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
73,21,31,1000054,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
74,21,40,1000055,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
75,21,50,1000056,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
76,21,78,1000057,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
77,21,13,1000021,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
78,21,25,1000022,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
79,21,7,1000023,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
80,21,18,1000024,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
81,28,1,1000001,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
82,28,3,1000002,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
83,28,5,1000003,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
84,28,10,1000004,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
85,28,15,1000005,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
86,28,20,1000006,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
87,28,25,1000007,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
88,28,30,1000075,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
89,28,4,1000041,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
90,28,12,1000058,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
91,28,18,1000059,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
92,28,1,1000045,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
93,28,15,1000060,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
94,28,25,1000074,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
95,28,1,1000053,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
96,28,10,1000054,2024-04-30 09:31:26.368684,2024-04-30 09:31:26.368684
