id,name,description,created_at,updated_at
100001,Supreme Warrior Awakened,"AGL, INT & PHY Type ATK +30%",2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100002,Pride Regained,"TEQ, INT and STR Type ATK +30%",2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100003,The Saiyan Among Us,TEQ & STR Types Ki +2,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100004,Genius of War,ATK +25% when HP is 30% or less,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100005,Emperor of Iniquity,ATK +15% for all Types,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100006,Despair's Onslaught,STR Type ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100007,Android Evolution,AGL Type ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100008,Time-traversing Evil,TEQ Type ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100009,Unrelenting Fighter,TEQ & STR Types ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100010,Hawk Eyes,AGL & PHY Types ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100011,Fruits of Labor,ATK +20% when HP is 80% or less,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100012,Stern Teacher,Ki +1 when HP is 80% or less,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100013,Aura Unleashed,ATK +25% when HP is 30% or less,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100014,The Gifted One,INT Type HP + 25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100015,Secret Arts Unleashed,Enemies' DEF -25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100016,Peerless Saiyan,ATK +25% when HP is 30% or less,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100017,Elite Warrior's Rage,STR Type HP & ATK +20%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100018,Hidden Strength,INT Type ATK + 25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100019,Honorable Fighter,HP +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100020,Calculated Combat,ATK + 15% when HP is 50% or above,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100021,Red Ribbon Army's Grudge,TEQ Type enemy ATK - 25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100022,Infinite Fighting Spirit,AGL Type enemies' ATK -25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100023,Alluring Assassin,INT & STR Types ATK +25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100024,Power Unleashed,PHY Type HP & ATK +20%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100025,Secrets of the Turtle Style,STR Type Ki +2,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100026,Unrivaled Assassin,AGL Type Ki +2,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100027,Steely Determination,INT Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100028,From Hell and Back,AGL Type Ki +1,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100029,Competitive Comrades,PHY Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100030,Aloof Warrior,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100031,Unfaltering Spirit,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100032,Trickster,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100033,The One and Only,TEQ Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100034,Menacing Alien Warrior,AGL Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100035,Devastating Destruction,PHY Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100036,Confident Grin,PHY Type DEF + 20%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100037,Captain's Merit,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100038,Cold-blooded Vandalism,Damage received reduced by 10%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100039,Mad Scientist's Revenge,TEQ Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100040,Escalating Threat,STR Type enemy DEF - 30%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100041,Fancy Footwork,Damage received reduced by 10%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100042,Nature-loving Warrior,TEQ Type DEF + 20%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100043,Mind-body Mastery,TEQ Type ATK + 25%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100044,Living Weapon,INT Type Ki +1,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100045,Unquenchable Ambition,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100046,Exquisite Technique,Damage received reduced by 10%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100047,Ghoulish Burst,STR Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100048,Demon's Disciple,PHY Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100049,Terror's Descent,AGL Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100050,Surging Rage,Damage received reduced by 10%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100051,Obstacle Eliminator,STR Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100052,Dazzling Destruction,PHY Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100053,The Timestopper,INT Type DEF + 20%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100054,Unfathomable Speed,AGL Type Ki +1,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100055,Elite Squadron's Pride,STR Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100056,A Moment's Chance,PHY Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100057,Namek's Last Warrior,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100058,Champion's Honor,HP + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100059,Buried Passion,AGL Type enemy DEF - 30%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100060,Tiny Terror,Damage received reduced by 10%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100061,Savagery Unleashed,TEQ Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100062,Malicious Scheme,TEQ Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100063,Light-Devouring Beast,AGL Type ATK + 15%,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100064,Undisputed Champion,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100065,Slayer of Evil,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100066,Simple-Minded Devil,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100067,Ominous Will,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100068,Wicked of Heart,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100069,Assassin in the Shadows,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100070,Warrior from Planet Voon,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100071,Steadfast Soldier,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100072,Fierce Raider,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100073,Loyal Servant,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100074,Unarmed Power,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100075,Capable in Love and War,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100076,Well-Trained Fist,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100077,Deep Sea Guardsman,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100078,Earthborn Warrior,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100079,Lethal Underling,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100080,Infamous Army,None,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100081,Messenger from the Future,ATK + 10% for all Types,2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100082,Hero Chosen by Earth,"AGL, INT & PHY Types Ki +1",2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
100083,Convulsing Rage,"TEQ, INT & STR Types ATK +30%",2024-05-17 11:41:03.560936,2024-05-17 11:41:03.560936
