id,lv,exp_type,exp_total,created_at,updated_at
1,1,0,0,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
2,2,0,3,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
3,3,0,27,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
4,4,0,70,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
5,5,0,124,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
6,6,0,200,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
7,7,0,310,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
8,8,0,459,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
9,9,0,654,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
10,10,0,901,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
11,11,0,1205,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
12,12,0,1574,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
13,13,0,2013,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
14,14,0,2527,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
15,15,0,3124,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
16,16,0,3809,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
17,17,0,4589,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
18,18,0,5469,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
19,19,0,6456,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
20,20,0,7555,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
21,21,0,8773,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
22,22,0,10116,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
23,23,0,11590,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
24,24,0,13201,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
25,25,0,14956,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
26,26,0,16859,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
27,27,0,18918,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
28,28,0,21138,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
29,29,0,23525,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
30,30,0,26087,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
31,31,0,28828,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
32,32,0,31754,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
33,33,0,34873,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
34,34,0,38189,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
35,35,0,41710,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
36,36,0,45440,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
37,37,0,49387,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
38,38,0,53556,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
39,39,0,57954,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
40,40,0,62586,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
41,41,0,67459,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
42,42,0,72578,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
43,43,0,77950,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
44,44,0,83581,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
45,45,0,89477,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
46,46,0,95644,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
47,47,0,102088,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
48,48,0,108816,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
49,49,0,115832,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
50,50,0,123144,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
51,51,0,130758,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
52,52,0,138679,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
53,53,0,146914,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
54,54,0,155469,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
55,55,0,164349,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
56,56,0,173562,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
57,57,0,183112,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
58,58,0,193007,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
59,59,0,203251,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
60,60,0,213853,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
61,61,0,224816,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
62,62,0,236148,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
63,63,0,247855,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
64,64,0,259942,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
65,65,0,272416,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
66,66,0,285283,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
67,67,0,298549,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
68,68,0,312220,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
69,69,0,326302,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
70,70,0,340801,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
71,71,0,355724,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
72,72,0,371076,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
73,73,0,386863,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
74,74,0,403092,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
75,75,0,419769,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
76,76,0,436900,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
77,77,0,454490,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
78,78,0,472546,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
79,79,0,491075,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
80,80,0,510081,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
81,81,0,529572,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
82,82,0,549553,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
83,83,0,570031,2024-02-27 09:30:35.935414,2024-02-27 09:30:35.935414
