id,budokai_box_ranking_id,start_value,end_value,created_at,updated_at
9,1,1,1,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
10,1,2,3,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
11,1,4,10,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
12,1,11,20,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
13,1,21,50,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
14,1,51,100,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
15,2,1,1,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
16,2,2,3,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
17,2,4,10,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
18,2,11,20,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
19,2,21,50,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
20,2,51,100,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170001,170,1,1,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170002,170,2,3,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170003,170,4,10,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170004,170,11,20,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170005,170,21,50,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
170006,170,51,100,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181001,181,1,1,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181002,181,2,3,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181004,181,4,10,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181011,181,11,20,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181021,181,21,50,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181051,181,51,100,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181101,181,101,150,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
181151,181,151,200,2024-04-30 09:32:02.689163,2024-04-30 09:32:02.689163
