id,z_battle_normal_reward_table_group_id,created_at,updated_at
1,1,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
2,2,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
3,3,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
4,4,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
5,5,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
6,6,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
8,8,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
9,9,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
10,10,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
11,11,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
12,12,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
13,13,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
14,14,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
15,15,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
16,16,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
17,17,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
18,18,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
19,19,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
20,20,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
21,21,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
22,22,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
23,23,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
24,24,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
25,25,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
32,32,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
33,33,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
34,34,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
35,35,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
36,36,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
37,37,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
38,38,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
39,39,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
40,40,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
41,41,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
42,42,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
43,43,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
44,32,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
45,32,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
46,33,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
47,33,2024-04-30 09:31:28.431481,2024-04-30 09:31:28.431481
