id,script_name,cut_in_card_id,special_name_no,special_motion,lite_flicker_rate,energy_color,special_category_id,created_at,updated_at
1,sp0001,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
2,sp0015,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
3,sp0001,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
4,sp0002,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
5,sp0023,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
6,sp0023,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
7,sp0001,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
8,sp0001,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
9,sp0003,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
10,sp1009,0,0,0,70,,3.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
11,sp0035,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
12,sp0024,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
13,sp0036,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
14,sp0022,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
15,sp1001,0,0,0,70,,2.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
16,sp0025,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
17,sp0037,0,0,0,70,,,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
18,sp0004,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
19,sp0029,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
20,sp0026,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
21,sp0031,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
22,sp0033,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
23,sp0034,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
24,sp0038,0,0,0,70,,2.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
25,sp0001,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
26,sp0022,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
27,sp0003,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
28,sp1009,0,0,0,70,,3.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
29,sp0035,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
30,sp0024,0,0,0,70,,1.0,2024-04-30 09:31:36.988887,2024-04-30 09:31:36.988887
