id,script_name,lite_flicker_rate,bgm_id,created_at,updated_at
1,pse0001,70,172.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
2,pse0002,70,175.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
3,pse0005,70,171.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
4,pse0003,70,181.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
5,pse0004,70,183.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
6,pse0006,70,186.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
7,pse0007,50,193.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
8,pse0008,50,195.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
9,pse0009,50,200.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
10,pse0010,30,197.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
11,pse0011,30,203.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
12,pse0015,30,215.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
13,pse0014,30,216.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
14,pse0013,30,217.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
15,pse0017,30,221.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
16,pse0016,50,226.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
17,pse0018,50,228.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
18,pse0019,30,239.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
19,pse0020,30,237.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
20,pse0022,50,258.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
21,pse0021,30,,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
22,pse0023,30,263.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
23,pse0024,30,268.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
24,pse0027,30,265.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
25,pse0025,70,270.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
26,pse0028,30,274.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
27,pse0026,30,272.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
28,pse0029,50,280.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
29,pse0031,30,285.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
30,pse0030,30,288.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
31,pse0032,30,290.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
32,pse0033,50,292.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
33,pse0034,50,295.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
34,pse0035,30,307.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
35,pse0037,50,314.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
36,pse0036,50,312.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
37,pse0038,50,316.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
38,pse0040,30,320.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
39,pse0039,50,329.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
40,pse0041,70,322.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
41,pse0042,70,327.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
43,pse0048,30,,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
49,pse0050,70,354.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
50,pse0049,50,356.0,2024-04-30 09:29:14.769415,2024-04-30 09:29:14.769415
