id,card_sticker_item_id,card_decoration_id,open_at,created_at,updated_at
3,3,31,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9034,1,3,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9035,1,4,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9036,1,5,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9037,1,6,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9038,1,7,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9039,1,8,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9040,1,9,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9041,1,10,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9042,1,11,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9043,1,13,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9044,1,14,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9045,1,15,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9046,1,16,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9047,1,17,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9048,1,18,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9049,1,19,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9050,1,20,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9051,1,21,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
9052,1,22,2020-07-07 00:00:00,2024-04-30 09:31:53.439186,2024-04-30 09:31:53.439186
