id,step_id,process_type,parameters,number,created_at,updated_at
10,1,USM_MOVIE,"{""file"":""tutorial_op.usm"",""skippable"":false}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
20,2,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
21,2,CHARAGEKI,"{""file"":""0000001.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10000,1000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10001,1000,CHARAGEKI,"{""file"":""0000002.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10100,1010,WAIT_INITIALIZE_PUZZLE,{},1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10101,1010,WAIT_TIMER,"{""time"":1}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10102,1010,DESCRIPTION_DIALOG,"{""id"":1000}",3,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10103,1010,DESCRIPTION_DIALOG,"{""id"":1010}",4,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10104,1010,DESCRIPTION_DIALOG,"{""id"":1020}",5,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10105,1010,DESCRIPTION_DIALOG,"{""id"":1030}",6,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10106,1010,PUZZLE_SELECT_BALL,"{""index"":2,""player_attack_damage"":152738}",7,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10107,1010,PUZZLE_SELECT_BALL,"{""index"":8,""player_attack_damage"":47113}",8,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10108,1010,WAIT_NEXT_TURN,"{""enemy_attack_damages"":[38619,71043]}",9,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10109,1010,CHARAGEKI,"{""file"":""0000003.kks""}",10,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10110,1010,DESCRIPTION_DIALOG,"{""id"":1100}",11,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10111,1010,DESCRIPTION_DIALOG,"{""id"":1110}",12,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10112,1010,DESCRIPTION_DIALOG,"{""id"":1120}",13,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10113,1010,PUZZLE_CHANGE_ATTACK_ORDER,"{""index"":2}",14,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10114,1010,WAIT_TIMER,"{""time"":0.4}",15,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10115,1010,PUZZLE_SELECT_BALL,"{""index"":0,""player_attack_damage"":88403}",16,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10116,1010,PUZZLE_SELECT_BALL,"{""index"":8,""player_attack_damage"":912870}",17,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10117,1010,WAIT_FINISH_BATTLE,"{""enemy_attack_damages"":[5180,222]}",29,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
10200,1020,CHARAGEKI,"{""file"":""0000004.kks""}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
