id,rank,exp_total,act_max,friends_capacity,created_at,updated_at
1,1,0,20,50,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
2,2,15,20,50,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
3,3,45,22,51,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
4,4,90,22,51,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
5,5,160,22,51,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
6,6,255,24,52,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
7,7,400,24,52,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
8,8,620,24,52,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
9,9,940,26,53,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
10,10,1385,26,53,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
11,11,1995,26,53,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
12,12,2810,28,54,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
13,13,3870,28,54,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
14,14,5215,28,54,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
15,15,6885,30,55,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
16,16,8920,30,55,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
17,17,11360,30,55,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
18,18,14245,32,56,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
19,19,17615,32,56,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
20,20,21510,32,56,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
21,21,25970,34,57,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
22,22,31015,34,57,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
23,23,36665,34,57,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
24,24,42940,36,58,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
25,25,49860,36,58,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
26,26,57445,36,58,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
27,27,65715,38,59,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
28,28,74690,38,59,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
29,29,84390,38,59,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
30,30,94835,40,60,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
31,31,106045,40,60,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
32,32,118040,40,60,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
33,33,130820,42,61,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
34,34,144385,42,61,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
35,35,158735,42,61,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
36,36,173870,44,62,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
37,37,189790,44,62,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
38,38,206495,44,62,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
39,39,223985,46,63,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
40,40,242260,46,63,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
41,41,261320,46,63,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
42,42,281165,48,64,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
43,43,301795,48,64,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
44,44,323210,48,64,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
45,45,345410,50,65,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
46,46,368395,50,65,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
47,47,392165,50,65,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
48,48,416720,52,66,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
49,49,442060,52,66,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
50,50,468185,57,66,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
51,51,495095,58,67,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
52,52,522790,58,67,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
53,53,551270,58,67,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
54,54,580535,59,68,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
55,55,610585,59,68,2024-05-17 11:37:58.799705,2024-05-17 11:37:58.799705
