id,name,description,exec_timing_type,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,created_at,updated_at
1,Rampage,Greatly increases ATK & DEF,0,0,0,,1,0,0,0,0,0,1,290.0,900.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2,Regeneration,Recovers HP,0,0,0,,2,0,0,0,0,0,2,184.0,4.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
3,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
4,Turn Into Candy!,Changes Ki Spheres into candies,1,0,80,,0,1,0,0,0,0,4,63.0,448.0,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
5,Recover,Recover HP,0,0,0,,2,0,0,0,0,0,2,100.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
6,Boss,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
7,Super Saiyan,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,140.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
8,Space Distortion,Randomly changes all Ki Spheres,1,0,80,,0,1,0,0,0,0,6,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
9,Coercion,Lock character switching,1,0,80,,0,11,55,30,15,0,5,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
10,Coercion,Lock character switching,1,0,90,,0,11,30,45,25,0,5,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
11,Ultimate Awakening,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,75.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
12,True Power,Greatly increases ATK,0,0,0,,1,0,0,0,0,0,1,220.0,100.0,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
13,Energy Eruption,Randomly changes all Ki Spheres,1,0,35,,0,1,0,0,0,0,6,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
100,Godly Grandeur,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,70.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
110,Godly Grandeur,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
120,Penetration,Increases damage dealt,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
200,Barrier,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,70.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
300,Rampage,Greatly increases ATK & DEF,0,0,0,,1,0,0,0,0,0,1,300.0,40000.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
400,Damage Reduction,Reduces damage received by 100%,0,0,0,,1,0,0,0,0,0,7,100.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
500,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,330.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
510,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,80.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
520,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
530,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
600,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,80.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
610,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,75.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
620,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,70.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
630,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
640,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,50.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
650,Regeneration,Recovers HP,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
700,Minus Energy,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
710,Minus Energy,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,70.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
720,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
730,Coercion,Locks character switching,1,0,33,,0,11,90,10,0,0,5,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
800,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,25.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
810,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
820,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
900,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,30.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
910,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,50.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
920,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,150.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1000,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,27.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1010,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,37.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1020,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,47.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1030,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,150.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1040,Immortal Form,Recovers HP,0,0,0,,2,0,0,0,0,0,2,100.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1100,Regeneration,Recovers HP,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1110,Regeneration,Recovers HP,0,0,0,,2,0,0,0,0,0,2,100.0,4.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1200,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1210,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1220,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1230,Consecration of Universe 6,Randomly changes all Ki Spheres,1,0,50,,0,1,0,0,0,0,6,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1240,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1250,Coercion,Locks character switching,1,0,70,,0,11,55,30,15,0,5,,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1260,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1270,Recover,Recover HP,0,0,0,,2,0,0,0,0,0,2,100.0,5.0,100.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
