id,chain_battle_ranking_gift_set_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1001,1,2001,TreasureItem,5000,0,Emblem of Cooperation x5000,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1002,1,1,CardStickerItem,3,0,Special Sticker x3,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1003,1,1003970,Card,10,0,[Mysterious Ritual] Elder Kai x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1004,1,1011481,Card,3,1500000,Hercule Statue (Diamond) x3,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1005,1,11,PotentialItem,250,0,AGL Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1006,1,12,PotentialItem,250,0,TEQ Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1007,1,13,PotentialItem,250,0,INT Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1008,1,14,PotentialItem,250,0,STR Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1009,1,15,PotentialItem,250,0,PHY Potential Orb (L) x250,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1010,1,6,PotentialItem,2500,0,AGL Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1011,1,7,PotentialItem,2500,0,TEQ Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1012,1,8,PotentialItem,2500,0,INT Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1013,1,9,PotentialItem,2500,0,STR Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1014,1,10,PotentialItem,2500,0,PHY Potential Orb (M) x2500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1015,1,1,PotentialItem,4500,0,AGL Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1016,1,2,PotentialItem,4500,0,TEQ Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1017,1,3,PotentialItem,4500,0,INT Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1018,1,4,PotentialItem,4500,0,STR Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1019,1,5,PotentialItem,4500,0,PHY Potential Orb (S) x4500,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1020,1,1000,TrainingItem,10,0,Platinum Turtle Shell [AGL] x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1021,1,1001,TrainingItem,10,0,Platinum Turtle Shell [TEQ] x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1022,1,1002,TrainingItem,10,0,Platinum Turtle Shell [INT] x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1023,1,1003,TrainingItem,10,0,Platinum Turtle Shell [STR] x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1024,1,1004,TrainingItem,10,0,Platinum Turtle Shell [PHY] x10,Chain Battle Ranking Reward: Top 1%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1025,2,2001,TreasureItem,4500,0,Emblem of Cooperation x4500,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1026,2,1,CardStickerItem,2,0,Special Sticker x2,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1027,2,1003970,Card,7,0,[Mysterious Ritual] Elder Kai x7,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1028,2,1011481,Card,2,1500000,Hercule Statue (Diamond) x2,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1029,2,11,PotentialItem,200,0,AGL Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1030,2,12,PotentialItem,200,0,TEQ Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1031,2,13,PotentialItem,200,0,INT Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1032,2,14,PotentialItem,200,0,STR Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1033,2,15,PotentialItem,200,0,PHY Potential Orb (L) x200,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1034,2,6,PotentialItem,2000,0,AGL Potential Orb (M) x2000,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1035,2,7,PotentialItem,2000,0,TEQ Potential Orb (M) x2000,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1036,2,8,PotentialItem,2000,0,INT Potential Orb (M) x2000,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1037,2,9,PotentialItem,2000,0,STR Potential Orb (M) x2000,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1038,2,10,PotentialItem,2000,0,PHY Potential Orb (M) x2000,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1039,2,1,PotentialItem,3600,0,AGL Potential Orb (S) x3600,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1040,2,2,PotentialItem,3600,0,TEQ Potential Orb (S) x3600,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1041,2,3,PotentialItem,3600,0,INT Potential Orb (S) x3600,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1042,2,4,PotentialItem,3600,0,STR Potential Orb (S) x3600,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1043,2,5,PotentialItem,3600,0,PHY Potential Orb (S) x3600,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1044,2,1000,TrainingItem,8,0,Platinum Turtle Shell [AGL] x8,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1045,2,1001,TrainingItem,8,0,Platinum Turtle Shell [TEQ] x8,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1046,2,1002,TrainingItem,8,0,Platinum Turtle Shell [INT] x8,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1047,2,1003,TrainingItem,8,0,Platinum Turtle Shell [STR] x8,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1048,2,1004,TrainingItem,8,0,Platinum Turtle Shell [PHY] x8,Chain Battle Ranking Reward: Top 2-3%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1049,3,2001,TreasureItem,4000,0,Emblem of Cooperation x4000,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1050,3,1,CardStickerItem,1,0,Special Sticker x1,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1051,3,1003970,Card,5,0,[Mysterious Ritual] Elder Kai x5,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1052,3,1011481,Card,1,1500000,Hercule Statue (Diamond) x1,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1053,3,11,PotentialItem,175,0,AGL Potential Orb (L) x175,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1054,3,12,PotentialItem,175,0,TEQ Potential Orb (L) x175,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1055,3,13,PotentialItem,175,0,INT Potential Orb (L) x175,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1056,3,14,PotentialItem,175,0,STR Potential Orb (L) x175,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1057,3,15,PotentialItem,175,0,PHY Potential Orb (L) x175,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1058,3,6,PotentialItem,1750,0,AGL Potential Orb (M) x1750,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1059,3,7,PotentialItem,1750,0,TEQ Potential Orb (M) x1750,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1060,3,8,PotentialItem,1750,0,INT Potential Orb (M) x1750,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1061,3,9,PotentialItem,1750,0,STR Potential Orb (M) x1750,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1062,3,10,PotentialItem,1750,0,PHY Potential Orb (M) x1750,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1063,3,1,PotentialItem,3150,0,AGL Potential Orb (S) x3150,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1064,3,2,PotentialItem,3150,0,TEQ Potential Orb (S) x3150,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1065,3,3,PotentialItem,3150,0,INT Potential Orb (S) x3150,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1066,3,4,PotentialItem,3150,0,STR Potential Orb (S) x3150,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1067,3,5,PotentialItem,3150,0,PHY Potential Orb (S) x3150,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1068,3,1000,TrainingItem,7,0,Platinum Turtle Shell [AGL] x7,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1069,3,1001,TrainingItem,7,0,Platinum Turtle Shell [TEQ] x7,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1070,3,1002,TrainingItem,7,0,Platinum Turtle Shell [INT] x7,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1071,3,1003,TrainingItem,7,0,Platinum Turtle Shell [STR] x7,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1072,3,1004,TrainingItem,7,0,Platinum Turtle Shell [PHY] x7,Chain Battle Ranking Reward: Top 4-5%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1073,4,2001,TreasureItem,3000,0,Emblem of Cooperation x3000,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1074,4,1,CardStickerItem,1,0,Special Sticker x1,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1075,4,1003970,Card,3,0,[Mysterious Ritual] Elder Kai x3,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1076,4,1005480,Card,3,765122,Hercule Statue (Platinum) x3,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1077,4,11,PotentialItem,150,0,AGL Potential Orb (L) x150,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1078,4,12,PotentialItem,150,0,TEQ Potential Orb (L) x150,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1079,4,13,PotentialItem,150,0,INT Potential Orb (L) x150,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1080,4,14,PotentialItem,150,0,STR Potential Orb (L) x150,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1081,4,15,PotentialItem,150,0,PHY Potential Orb (L) x150,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1082,4,6,PotentialItem,1500,0,AGL Potential Orb (M) x1500,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1083,4,7,PotentialItem,1500,0,TEQ Potential Orb (M) x1500,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1084,4,8,PotentialItem,1500,0,INT Potential Orb (M) x1500,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1085,4,9,PotentialItem,1500,0,STR Potential Orb (M) x1500,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1086,4,10,PotentialItem,1500,0,PHY Potential Orb (M) x1500,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1087,4,1,PotentialItem,2700,0,AGL Potential Orb (S) x2700,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1088,4,2,PotentialItem,2700,0,TEQ Potential Orb (S) x2700,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1089,4,3,PotentialItem,2700,0,INT Potential Orb (S) x2700,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1090,4,4,PotentialItem,2700,0,STR Potential Orb (S) x2700,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1091,4,5,PotentialItem,2700,0,PHY Potential Orb (S) x2700,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1092,4,1000,TrainingItem,6,0,Platinum Turtle Shell [AGL] x6,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1093,4,1001,TrainingItem,6,0,Platinum Turtle Shell [TEQ] x6,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1094,4,1002,TrainingItem,6,0,Platinum Turtle Shell [INT] x6,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1095,4,1003,TrainingItem,6,0,Platinum Turtle Shell [STR] x6,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1096,4,1004,TrainingItem,6,0,Platinum Turtle Shell [PHY] x6,Chain Battle Ranking Reward: Top 6-10%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1097,5,2001,TreasureItem,2500,0,Emblem of Cooperation x2500,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1098,5,1003970,Card,2,0,[Mysterious Ritual] Elder Kai x2,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1099,5,1005480,Card,2,765122,Hercule Statue (Platinum) x2,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1100,5,11,PotentialItem,125,0,AGL Potential Orb (L) x125,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.190588,2024-02-27 09:30:45.190588
1101,5,1000,TrainingItem,5,0,Platinum Turtle Shell [AGL] x5,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1102,5,12,PotentialItem,125,0,TEQ Potential Orb (L) x125,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1103,5,13,PotentialItem,125,0,INT Potential Orb (L) x125,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1104,5,14,PotentialItem,125,0,STR Potential Orb (L) x125,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1105,5,15,PotentialItem,125,0,PHY Potential Orb (L) x125,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1106,5,6,PotentialItem,1250,0,AGL Potential Orb (M) x1250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1107,5,7,PotentialItem,1250,0,TEQ Potential Orb (M) x1250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1108,5,8,PotentialItem,1250,0,INT Potential Orb (M) x1250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1109,5,9,PotentialItem,1250,0,STR Potential Orb (M) x1250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1110,5,10,PotentialItem,1250,0,PHY Potential Orb (M) x1250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1111,5,1,PotentialItem,2250,0,AGL Potential Orb (S) x2250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1112,5,2,PotentialItem,2250,0,TEQ Potential Orb (S) x2250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1113,5,3,PotentialItem,2250,0,INT Potential Orb (S) x2250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1114,5,4,PotentialItem,2250,0,STR Potential Orb (S) x2250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1115,5,5,PotentialItem,2250,0,PHY Potential Orb (S) x2250,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
1116,5,1001,TrainingItem,5,0,Platinum Turtle Shell [TEQ] x5,Chain Battle Ranking Reward: Top 11-20%,2024-02-27 09:30:45.200894,2024-02-27 09:30:45.200894
