id,name,description,rarity,max_per_quest,max_per_quest_extended,efficacy_type1,efficacy_type2,target_type,calc_option,turn,eff1_value1,eff1_value2,eff1_value3,efficacy_values1,eff2_value1,eff2_value2,eff2_value3,efficacy_values2,ingame_type,selling_exchange_point,created_at,updated_at
1,Recovery Drink,Recover 2500 HP,0,1,2,4,0,1,0,1,2500,0,0,{},0,0,0,{},0,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
2,Super Recovery Drink,Recover 6000 HP,0,1,2,4,0,1,0,1,6000,0,0,{},0,0,0,{},0,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
3,Ultra Recovery Drink,Recover 10000 HP,1,1,2,4,0,1,0,1,10000,0,0,{},0,0,0,{},0,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
4,Ultimate Recovery Drink,Recover 15000 HP,1,1,2,4,0,1,0,1,15000,0,0,{},0,0,0,{},0,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
5,Korin's Herb Blend,Remove all allies' status effects,2,1,2,22,0,2,0,1,0,0,0,{},0,0,0,{},0,3,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
6,Senzu Bean,Recover all HP and remove all allies' status effects,3,1,2,21,0,2,0,1,0,0,0,{},0,0,0,{},0,5,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1000,Dende,Recover all HP and remove all allies' status effects,3,1,2,21,0,2,0,1,0,0,0,{},0,0,0,{},1,5,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1002,Cargo,Recover 25% of HP,1,1,2,4,0,1,2,1,25,0,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1100,Oolong [AGL],Change all green Ki Spheres to blue,1,1,2,51,0,1,0,1,1,0,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1101,Oolong [TEQ],Change all purple Ki Spheres to green,1,1,2,51,0,1,0,1,2,1,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1102,Puar [INT],Change all orange Ki Spheres to purple,1,1,2,51,0,1,0,1,4,2,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1103,Puar [STR],Change all blue Ki Spheres to red,1,1,2,51,0,1,0,1,0,3,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
1104,Puar [PHY],Change all red Ki Spheres to orange,1,1,2,51,0,1,0,1,3,4,0,{},0,0,0,{},1,1,2024-04-30 09:31:39.389522,2024-04-30 09:31:39.389522
