id,world_id,image,icon_x,icon_y,created_at,updated_at
1,1,26,576,1763,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
2,1,25,810,1383,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
3,1,24,1091,1525,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
4,1,23,1197,1438,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
5,1,22,1377,1528,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
6,1,21,1472,1316,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
7,1,20,1013,1353,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
8,1,19,1282,1669,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
9,1,18,1658,1752,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
10,1,8,2450,1861,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
11,1,7,2385,1415,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
12,1,6,510,1146,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
13,1,5,405,928,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
14,1,17,1075,1183,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
15,1,16,1170,1046,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
16,1,15,1670,921,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
17,1,14,2012,858,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
18,1,13,2189,829,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
19,1,12,2227,1081,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
20,1,11,2286,905,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
21,1,10,717,669,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
22,1,9,644,524,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
23,1,4,1404,256,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
24,1,3,1404,339,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
25,1,2,1622,257,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
26,1,1,2271,588,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
27,1,24,2158,1490,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
28,1,27,1850,1810,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
29,1,28,2060,468,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
101,101,1,1147,1123,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
201,201,1,1147,1123,2024-02-27 09:30:22.573582,2024-02-27 09:30:22.573582
