id,comment,created_at,updated_at
10,B-rank AGL.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
11,B-rank TEQ.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
12,B-rank INT.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
13,B-rank STR.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
14,B-rank PHY.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
20,A-rank AGL.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
21,A-rank TEQ.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
22,A-rank INT. This serves as the base for all others.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
23,A-rank STR.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
24,A-rank PHY.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
30,S-rank AGL.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
31,S-rank TEQ.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
32,S-rank INT.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
33,S-rank STR.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
34,S-rank PHY.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
120,A-rank AGL. For characters with special settings.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
121,A-rank TEQ. For characters with special settings.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
122,A-rank INT. For characters with special settings.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
123,A-rank STR. For characters with special settings.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
124,A-rank PHY. For characters with special settings.,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
201,孫悟空Jr専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
202,ブルマ(少女期)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
203,孫悟飯(幼年期)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
204,バータ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
205,グルド専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
206,ギニュー専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
207,ジース専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
208,リクーム専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
209,ピッコロ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
210,トランクス(幼年期)&孫悟天(幼年期)&マーロン専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
211,ギル専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
212,ベジータJr.専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
213,孫悟空(DOKKAN武闘伝)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
214,ベジータ(DOKKAN武闘伝)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
215,フリーザ(第二形態)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
216,ベジータ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
217,孫悟空専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
218,ブロリー(幼年期)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
219,ベジータ(幼年期)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
220,トテッポ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
221,トーマ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
222,セリパ専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
223,バーダック専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
224,パンブーキン専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
225,ブルマ(少女期)専用,2024-02-27 09:32:22.157490,2024-02-27 09:32:22.157490
