id,quest_id,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,item5_id,item5_type,item6_id,item6_type,is_show_etc,created_at,updated_at
1,1000,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
2,1001,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
3,1002,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
4,1003,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
5,1004,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
6,1005,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
7,2001,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
8,2002,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
9,2003,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
10,2004,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
11,2005,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
12,3001,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
13,3002,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
14,3003,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
15,3004,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
16,3005,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
17,3006,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
18,3007,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
19,3008,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
20,4001,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
21,4002,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
22,4003,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
23,4004,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
24,4005,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
25,4006,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
26,4007,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
27,4008,,,,,,,,,,,,,0,2024-05-17 11:37:58.300820,2024-05-17 11:37:58.300820
