id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive,created_at,updated_at
1,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
2,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
3,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
4,Galick Gun,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
5,Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
6,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
7,Masenko,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
8,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
9,Shining Slash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
10,Burning Attack,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
11,Destructo-Disc,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
12,Special Beam Cannon,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
13,Tri-Beam,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
14,Dodon Ray,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
15,Dodon Ray,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
16,Telekinesis,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
17,Wolf Fang Fist,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
18,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
19,Double Sunday,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
20,Giant Storm,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
21,Break Cannon,"Huge damage to enemy 
and greatly lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
22,Elegant Blaster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
23,Milky Cannon,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
24,Eye Beam,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
25,Photon Wave,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
26,Full Power Energy Ball,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
27,Infinity Bullet,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
28,Rocket Punch,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
29,Hell Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
30,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
31,Dodon Ray,"Huge damage 
and rare chance to stun the enemy",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
32,Double Buster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
33,Evil Containment Wave,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
34,Super Breath Cannon,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
35,Electromagnetic Wave,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
36,Power Rush,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
37,Maximum Buster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
38,Recoome Eraser Gun,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
39,Psycho Javelin,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
40,Paralysis Technique,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
41,Blue Impulse,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
42,Crusher Ball,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
43,Reclining Slicer,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
44,Assault Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
45,No Forgiveness!,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
46,Dynamite Kick,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
47,Eagle Kick,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
48,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
49,Crash Launcher,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
50,Energy Drain,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
51,Light Absorber,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
52,Snipe Shot,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
53,High Speed Rush,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
54,Dastard Impact,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
55,Evil Beam,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
56,Powered Tackle,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
57,Diamond Chop,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
58,Knuckle Blow,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
59,Killer Machine Gun,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
60,Acid,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
61,Beam Strike,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
62,R2 Gun,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
63,Dynamite Kick,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
64,Light Grenade,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
65,Dodon Ray,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
66,Burning Slash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
67,Heat Dome Attack,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
68,Leave My Dad Alone!,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
69,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
70,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
71,Death Ball,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
72,Death Wave,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
73,Crazy Finger Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
74,Paralysis Technique,"Causes huge damage 
and may stun the enemy",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
75,Super Dodon Ray,"Causes damage with 
a chance of stunning the enemy",,0,50,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
76,Death Ball,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
77,Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
78,Final Spirit Cannon,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
79,Energy Bullet,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
80,Supernova,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
81,Flame Bullet,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
