id,name,description,increase_rate,aim_target,created_at,updated_at
2,For LR Super Saiyan 4 Goku/Vegeta,Ultimate Damage +100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
3,For Goku (Youth),Causes ultimate damage,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
4,For LR Gohan & Goten,Ultimate Damage +100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
5,For Frieza (2nd Form),"Causes supreme damage 
(Equivalent to Super Attack Level 15)",430,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
6,For LR Perfect Cell,Ultimate Damage +50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
7,For Super Saiyan God SS Goku (Kaioken),"Causes ultimate damage to enemy 
(Raises allies' ATK by 30% for 1 turn)",520,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
8,For Super Saiyan God SS Vegito,Ultimate Damage +50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
9,For Super Saiyan God SS Gogeta,Ultimate Damage +50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
10,For Trunks (Future) & Mai (Future),628% Damage,628,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
11,For Goku (Ultra Instinct),Ultimate Damage +50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
12,For SSGSS Evolved Vegeta,Mega-colossal damage to all enemies,440,1,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
13,For Master Roshi,Ultimate Damage +100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
14,For Android #17,Ultimate Damage +50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
15,For Super Saiyan Goku (GT),Ultimate Damage +100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
16,For Super Saiyan Vegeta (GT),Ultimate Damage +100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
17,For Super #17,Causes ultimate damage,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
18,[en]桃白白用,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
19,[EN] 界王拳,[EN] 究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
20,[EN] 界王拳,[EN] 究極ダメージ+30%,580,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
21,Wドッカン超サイヤ人孫悟空,Causes ultimate damage,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
22,Wドッカンフリーザ(フルパワー),Causes ultimate damage,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
23,[en]フュージョン(7周年Wドッカン),[en]究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
24,[en]ウルトラビッグバンかめはめ波(7周年Wドッカン),[en]究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
25,[en]芭蕉扇,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
26,[en]願いをこめた元気玉,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
27,ファイナルエクスプロージョン(サイヤ),敵全体に超極大ダメージ+50%,490,1,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
28,[en]ラディッツの制裁,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
29,[en]栽培マンアタック,[en]究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
30,[en]魔貫光殺砲,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
31,フルパワー親子かめはめ波,究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
32,[en]アースブレイカー,[en]敵全体に超極大+100%,540,1,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
33,[en]親子ギャリック砲,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
34,[en]さようなら天さん,[en]究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
35,[en]絶対のいかずち,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
36,とっておきのかめはめ波,究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
37,スーパーノヴァ,究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
38,超サイヤ人怒る！！！,究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
39,生命エネルギー吸収,究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
40,不可能を可能にする力,究極ダメージ,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
41,[en]怒りのかめはめ波,[en]800%ダメージ,800,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
42,[en]ファイナルスピリッツキャノン,[en]究極ダメージを与える,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
43,[en]最大出力かめはめ波,[en]610%ダメージ,610,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
44,[en]特大繰気弾,[en]究極ダメージ,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
45,魔貫光殺砲,究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
46,[en]フルパワー一斉攻撃,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
47,[en]元気玉,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
48,[en]満月の出来事,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
