id,comment,created_at,updated_at
1,"素材ID=3:20個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
2,素材ID=3:5個,2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
3,素材ID=3:10個,2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
4,"素材ID=3:10個, 素材ID=8:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
5,"素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
6,"素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
7,"素材ID=3:20個, 素材ID=8:15個, 素材ID=13:2個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
8,"素材ID=3:30個, 素材ID=8:15個, 素材ID=13:3個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
9,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
10,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:10個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
11,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
12,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
13,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
14,"必殺技Lv2以上, 素材ID=3:10個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
15,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
16,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
17,"必殺技Lv6以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
18,"必殺技Lv8以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
19,"必殺技Lv10以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
20,"必殺技Lv8以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
21,"必殺技Lv10以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
22,"必殺技Lv10以上, 素材ID=3:30個, 素材ID=8:20個, 素材ID=13:3個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
23,"必殺技Lv10以上, 素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
24,"素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
25,素材ID=1:10個,2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
26,"素材ID=1:20個, 素材ID=6:10個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
27,"素材ID=1:10個, 素材ID=6:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
28,"素材ID=1:20個, 素材ID=6:10個, 素材ID=11:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
29,"必殺技Lv2以上, 素材ID=1:10個, 素材ID=6:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
30,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
31,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
32,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
33,"必殺技Lv2以上, 素材ID=1:10個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
34,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
35,"必殺技Lv1以上, 素材ID=1:20個, 素材ID=6:10個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
36,"必殺技Lv8以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
37,"必殺技Lv10以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
38,"必殺技Lv10以上, 素材ID=1:20個, 素材ID=6:10個, 素材ID=11:5個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
39,素材ID=1:5個,2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
40,"素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個",2024-04-30 09:30:47.252708,2024-04-30 09:30:47.252708
