id,param_no,idx,value,created_at,updated_at
1,1,0,5000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
2,101,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
3,101,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
4,101,2,80,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
5,101,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
8,102,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
9,102,1,243,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
10,102,2,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
11,102,3,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
12,102,4,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
13,102,5,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
14,102,6,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
15,102,7,1904,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
16,102,8,3000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
17,102,9,3001,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
18,102,10,3002,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
21,501,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
22,501,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
23,501,2,80,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
24,501,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
27,502,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
28,502,1,243,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
29,502,2,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
30,502,3,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
31,502,4,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
32,502,5,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
33,502,6,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
34,502,7,1904,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
35,502,8,3000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
36,502,9,3001,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
37,502,10,3002,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
40,511,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
41,511,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
42,511,2,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
43,511,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
46,512,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
47,512,1,243,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
48,512,2,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
49,512,3,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
50,512,4,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
51,512,5,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
52,512,6,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
53,512,7,1904,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
54,512,8,3000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
55,512,9,3001,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
56,512,10,3002,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
59,521,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
60,521,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
61,521,2,20,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
62,521,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
65,522,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
66,522,1,243,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
67,522,2,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
68,522,3,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
69,522,4,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
70,522,5,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
71,522,6,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
72,522,7,1904,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
73,522,8,3000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
74,522,9,3001,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
75,522,10,3002,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
78,101,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
79,501,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
80,511,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
81,521,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
82,1001,0,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
83,1001,1,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
84,1001,2,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
85,1001,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
88,1001,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
89,1002,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
90,1002,1,224,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
91,1002,2,17,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
92,1002,3,255,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
93,1002,4,83,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
94,1002,5,0,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
95,1002,6,86,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
96,1002,7,3006,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
97,1002,8,3003,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
98,1002,9,3004,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
99,1002,10,3005,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
102,531,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
103,531,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
104,531,2,80,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
105,531,3,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
108,531,4,1,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
109,532,0,50,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
110,532,1,243,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
111,532,2,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
112,532,3,32,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
113,532,4,100,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
114,532,5,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
115,532,6,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
116,532,7,1904,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
117,532,8,3000,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
118,532,9,3001,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
119,532,10,3002,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
122,541,0,2,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
123,541,1,3,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
124,541,2,80,2024-02-27 09:30:22.990206,2024-02-27 09:30:22.990206
125,541,3,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
128,541,4,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
129,542,0,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
130,542,1,243,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
131,542,2,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
132,542,3,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
133,542,4,100,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
134,542,5,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
135,542,6,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
136,542,7,1904,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
137,542,8,3000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
138,542,9,3001,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
139,542,10,3002,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
142,551,0,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
143,551,1,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
144,551,2,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
145,551,3,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
148,551,4,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
149,552,0,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
150,552,1,243,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
151,552,2,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
152,552,3,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
153,552,4,100,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
154,552,5,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
155,552,6,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
156,552,7,1904,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
157,552,8,3000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
158,552,9,3001,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
159,552,10,3002,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
162,111,0,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
163,111,1,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
164,111,2,80,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
165,111,3,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
168,111,4,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
169,112,0,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
170,112,1,243,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
171,112,2,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
172,112,3,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
173,112,4,100,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
174,112,5,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
175,112,6,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
176,112,7,1904,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
177,112,8,3000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
178,112,9,3001,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
179,112,10,3002,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
182,121,0,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
183,121,1,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
184,121,2,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
185,121,3,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
188,121,4,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
189,122,0,50,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
190,122,1,243,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
191,122,2,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
192,122,3,32,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
193,122,4,100,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
194,122,5,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
195,122,6,2,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
196,122,7,3010,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
197,122,8,3007,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
198,122,9,3008,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
199,122,10,3009,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
202,2,0,1,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
203,2,1,3,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
204,2,2,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
205,2,3,648,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
206,2,4,360,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
207,2,5,360,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
208,2,6,360,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
209,2,7,864,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
210,2,8,800,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
211,2,9,3800,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
212,2,10,2000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
213,2,11,2000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
214,2,12,1200,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
215,2,13,500,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
216,2,14,400,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
217,2,15,420,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
218,2,16,380,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
219,2,17,340,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
220,2,18,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
221,2,19,500,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
222,2,20,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
223,2,21,1800,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
224,2,22,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
225,2,23,1500,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
226,2,24,1800,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
227,2,25,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
228,2,26,500,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
229,2,27,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
230,2,28,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
231,2,29,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
232,2,30,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
233,2,31,1800,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
234,2,32,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
235,2,33,1000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
236,2,34,500,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
237,2,35,2000,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
238,2,36,1100,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
239,2,37,1200,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
240,2,38,1200,2024-02-27 09:30:22.997346,2024-02-27 09:30:22.997346
241,2,39,1200,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
242,2,40,2160,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
243,2,41,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
244,2,42,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
245,2,43,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
246,2,44,1800,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
247,2,45,500,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
248,2,46,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
249,2,47,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
250,2,48,1800,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
251,2,49,700,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
252,2,50,500,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
253,2,51,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
254,2,52,2400,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
255,2,53,10,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
256,2,54,10,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
257,2,55,10,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
258,2,56,10,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
259,2,57,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
260,2,58,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
261,2,59,850,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
262,2,60,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
263,2,61,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
264,2,62,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
265,3,0,100,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
266,3,1,1,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
267,4,0,100,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
268,4,1,3,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
269,2,63,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
270,2,64,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
271,2,65,1080,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
272,2,66,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
273,2,67,1000,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
274,2,68,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
275,2,69,800,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
276,2,70,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
277,2,71,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
278,2,72,0,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
279,2000,0,30,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
280,2000,1,3,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
281,561,0,2,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
282,561,1,3,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
283,561,2,80,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
284,561,3,1,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
287,561,4,1,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
288,562,0,50,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
289,562,1,243,2024-02-27 09:30:23.003809,2024-02-27 09:30:23.003809
