id,equipment_skill_limitation_set_id,type,conditions,created_at,updated_at
1,1,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":1}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
2,2,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":2}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
3,3,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
4,4,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":8}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
5,5,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":16}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
6,6,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":31}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
7,7,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4096}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
8,8,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":8192}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
9,9,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":16384}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
10,10,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":32768}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
11,11,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":65536}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
12,12,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":126976}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
13,13,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":131072}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
14,14,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":262144}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
15,15,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":524288}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
16,16,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":1048576}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
17,17,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":2097152}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
18,18,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4063232}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
19,19,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[38]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
20,20,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[39]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
21,21,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[40]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
22,22,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[27]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
23,23,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019161,1019170,1019171]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
24,24,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019191,1019200,1019201]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
25,25,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019081,1019090,1019091]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
26,26,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019231,1019240,1019241]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
27,27,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019211,1019220,1019221]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
28,28,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[1]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
29,29,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[2]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
30,30,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[4]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
31,31,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[5]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
32,32,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[7]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
33,33,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[8]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
34,34,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[9]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
35,35,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[10]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
36,36,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[22]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
37,37,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[6]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
38,38,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[12]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
39,39,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[13]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
40,40,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[23]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
41,41,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[15]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
42,42,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[16]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
43,43,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[19]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
44,44,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[20]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
45,45,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[21]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
46,46,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[17]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
47,47,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[14]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
48,48,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013041,1013050,1013051]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
49,49,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013061,1013070,1013071]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
50,50,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013081,1013090,1013091]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
51,51,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013021,1013030,1013031]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
52,52,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013001,1013010,1013011]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
53,53,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[17,30]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
54,54,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[22]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
55,55,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[24]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
56,56,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[26]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
57,57,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[29]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
58,58,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[30]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
59,59,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1011661,1012390,1012391,1011680,1011681]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
60,60,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[31]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
61,61,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[29]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
62,62,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[16]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
63,63,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[33]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
64,64,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019161,1019170,1019171,1019191,1019200,1019201,1019081,1019090,1019091,1019231,1019240,1019241,1019211,1019220,1019221]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
65,65,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013041,1013050,1013051,1013061,1013070,1013071,1013081,1013090,1013091,1013021,1013030,1013031,1013001,1013010,1013011]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
66,66,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[36]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
67,67,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1005181,1010250,1010251]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
68,68,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[46]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
69,69,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[47]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
70,70,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[88]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
71,71,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[48]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
72,72,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[90]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
73,73,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[2,9]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
74,74,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1005271,1005280,1005281]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
75,75,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1002801,1005050,1005051]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
76,76,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1009421,1009430,1009431]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
77,77,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1009821,1009830,1009831]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
78,78,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012881,1012890,1012891,1012900,1012901]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
79,79,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012911,1012920,1012921,1012930,1012931]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
80,80,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1015741,1015750,1015751,1014210,1014211]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
81,81,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1015761,1015770,1015771,1014220,1014221]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
82,82,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1018631,1018640,1018641,1018650,1018651]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
83,83,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1018601,1018610,1018611,1018620,1018621]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
84,84,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1020321,1020330,1020331,1020340,1020341]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
85,85,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1020291,1020300,1020301,1020310,1020311]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
86,86,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1022361,1022370,1022371,1022380,1022381]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
87,87,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1022401,1022410,1022411,1022420,1022421]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
88,88,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025711,1025720,1025721,1025730,1025731]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
89,89,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025751,1025760,1025761,1025770,1025771]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
90,90,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[49]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
91,91,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012360,1012361]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
92,92,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[50]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
93,93,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[51]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
94,94,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[52]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
95,95,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[53]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
96,96,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[54]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
97,97,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[38]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
98,98,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[55]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
99,99,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1027241,1027250,1027251]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
100,100,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1027401,1027410,1027411,1027600,1027601]}",2024-04-30 09:32:09.819682,2024-04-30 09:32:09.819682
101,101,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[74]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
102,102,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[57]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
103,103,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[42]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
104,104,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[61]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
105,105,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[28]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
106,106,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[43]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
107,108,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[35]}",2024-04-30 09:32:09.825113,2024-04-30 09:32:09.825113
