id,type,category,world_id,db_story_id,name,prev_area_id,all_clear_bonus_stones,bgm_id,area_icon_id,width,height,split,layer0,layer1,layer2,layer3,event_image_path,banner_image_path,minibanner_image_path,listbutton_image_path,is_listbutton_visible,event_priority,announcement_id,is_quest_num_visible,first_released_at,created_at,updated_at
1,Area::MainArea,0,1,,A Gloomy Parallel World,,1.0,,27,1500,1800,1,27,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
2,Area::MainArea,0,1,,The Ultimate Life Form!,1.0,1.0,,14,1500,1800,1,14,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
3,Area::MainArea,0,1,,A Call to Arms,2.0,1.0,,12,1500,1800,1,12,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
4,Area::MainArea,0,1,,The Emperor's Wrath,3.0,1.0,,6,1500,1800,1,6,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
5,Area::MainArea,0,1,,The Dreaded Ginyu Force,4.0,1.0,,1,1500,1800,1,1,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
6,Area::MainArea,0,1,,The Androids Attack!,5.0,1.0,,23,1500,1800,1,23,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
7,Area::MainArea,0,1,,Assault of the Saiyans!,6.0,1.0,,27,1500,1800,1,27,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
8,Area::MainArea,0,1,,Merciless Frieza,7.0,1.0,,4,1500,1800,1,4,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
9,Area::MainArea,0,1,,"Arise, Saiyan Prince",8.0,1.0,,5,1500,1800,1,5,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
10,Area::MainArea,0,1,,Red Ribbon Machinations,9.0,1.0,,28,1500,1800,1,28,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
11,Area::MainArea,0,1,,Unknown Saiyans,10.0,1.0,,14,1500,1800,1,14,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
12,Area::MainArea,0,1,,Terror Returns,11.0,1.0,,14,1500,1800,1,29,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
13,Area::MainArea,0,1,,When Warriors Collide,12.0,1.0,,16,1500,1800,1,16,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
14,Area::MainArea,0,1,,The Ultimate Android,13.0,1.0,,28,1500,1800,1,28,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
15,Area::MainArea,0,1,,Distorted Destiny,14.0,1.0,,5,1500,1800,1,5,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
16,Area::MainArea,0,1,,Reunited,15.0,1.0,,6,1500,1800,1,6,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
17,Area::MainArea,0,1,,Frieza's Menace!,16.0,1.0,,4,1500,1800,1,27,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
18,Area::MainArea,0,1,,The Epic Attack and Defense,17.0,1.0,,3,1500,1800,1,4,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
19,Area::MainArea,0,1,,Stop the Majin's Revival!,18.0,1.0,,12,1500,1800,1,12,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
20,Area::MainArea,0,1,,Plot of Darkness,19.0,1.0,,21,1500,1800,1,21,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
21,Area::MainArea,0,1,,Omen of Brutal Brawl,20.0,1.0,,5,1500,1800,1,5,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
22,Area::MainArea,0,1,,A New Threat,21.0,1.0,,6,1500,1800,1,6,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
23,Area::MainArea,0,1,,Stop Cell's Perfect Form!,22.0,1.0,,29,1500,1800,1,30,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
24,Area::MainArea,0,1,,Ambitious Androids,23.0,1.0,,13,1500,1800,1,31,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
25,Area::MainArea,0,1,,Signs of Invasion,24.0,1.0,,29,1500,1800,1,30,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
26,Area::MainArea,0,1,,Demonic Technology,25.0,1.0,,28,1500,1800,1,28,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
27,Area::MainArea,0,1,,Taxing Endeavor,26.0,1.0,,5,1500,1800,1,5,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
28,Area::MainArea,0,1,,The Hunter and the Hunted,27.0,,,7,1500,1800,1,23,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
29,Area::MainArea,0,1,,United Front!,28.0,,,12,1500,1800,1,12,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
30,Area::MainArea,0,1,,Clash with the Saiyans,29.0,,,10,1500,1800,1,102,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
31,Area::MainArea,0,1,,Reunion at Kame House,30.0,,,26,1500,1800,1,103,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
32,Area::MainArea,0,1,,Object of Rancor,31.0,,,19,1500,1800,1,104,1,2,3,,,,banners/en/event/eve_listbutton/myp_banner_bouken.png,1,0,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
101,Area::EventArea,5,1,,Get AGL Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
102,Area::EventArea,5,1,,Get TEQ Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
103,Area::EventArea,5,1,,Get INT Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
