id,enemy_skill_id,link_skill_id,created_at,updated_at
100,1,1000,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
200,2,1001,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
300,3,1003,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
600,6,50,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
700,7,29,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
1200,12,1004,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
20000,200,109,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
30000,300,1000,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
65000,650,103,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
70000,700,95,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
71000,710,95,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
72000,720,95,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
96000,96001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
96001,96008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
96002,96014,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
96003,96017,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
100000,100001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
100001,100008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
100002,100014,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
100003,100017,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
101000,101001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
101001,101008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
101002,101015,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
101003,101018,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
102000,102001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
102001,102008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
102002,102014,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
102003,102017,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
105000,105001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
105001,105008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
105002,105014,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
105003,105017,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
107000,107001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
107001,107008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
107002,107014,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
107003,107017,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
108000,108001,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
108001,108008,125,2024-02-27 09:32:26.595025,2024-02-27 09:32:26.595025
