id,support_memory_id,support_memory_enhancement_item_id,quantity,priority,created_at,updated_at
1,100012,100011,15,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
2,100012,100012,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
3,100013,100013,30,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
4,100013,100014,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
5,200012,200011,15,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
6,200012,200012,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
7,200013,200013,30,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
8,200013,200014,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
9,300012,300011,15,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
10,300012,300012,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
11,300013,300013,30,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
12,300013,300014,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
13,400012,400011,15,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
14,400012,400012,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
15,400013,400013,30,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
16,400013,400014,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
17,500012,500011,15,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
18,500012,500012,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
19,500013,500013,30,2,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
20,500013,500014,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
21,200082,200081,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
22,200083,200082,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
23,200084,200083,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
24,200085,200084,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
25,300052,300051,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
26,300053,300052,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
27,300054,300053,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
28,300055,300054,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
29,200112,200111,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
30,200113,200112,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
31,200114,200113,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
32,200115,200114,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
33,400052,400051,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
34,400053,400052,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
35,400054,400053,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
36,400055,400054,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
37,400042,400041,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
38,400043,400042,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
39,400044,400043,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
40,400045,400044,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
47,200042,200041,15,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
48,200043,200042,20,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
49,200044,200043,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
50,200045,200044,30,1,2024-02-27 09:32:40.242862,2024-02-27 09:32:40.242862
