id,name,priority,created_at,updated_at
1,Raise ATK,1000,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
2,Raise DEF,990,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
3,Raise HP,980,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
4,Raise Ki,970,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
5,Lower ATK,960,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
6,Lower DEF,950,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
7,Boost All,940,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
8,Boost Type,930,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
9,Boost Category,920,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
10,All-Target Super Attack,910,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
11,Seal Super Attack,900,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
12,Stun,890,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
13,Transformation,880,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
14,Giant Form,870,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
15,Rage,860,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
16,Counterattack,850,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
17,Attack Effective to All,840,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
18,Damage Reduction,830,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
19,Guard,820,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
20,Disable Guard,810,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
21,Foresee Super Attack,800,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
22,Critical Hit,790,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
23,Change Ki Spheres,780,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
24,Raise ATK (Ki Sphere),770,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
25,Raise DEF (Ki Sphere),760,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
26,Recovery (Ki Sphere),750,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
27,Raise Ki (Ki Sphere),740,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
28,Additional Attack,730,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
29,Evasion,720,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
30,Recovery,710,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
31,Immune to Negative Effects,700,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
32,Survive K.O. Attack,690,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
33,Guaranteed Hit,725,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
34,Remove Status Effects,705,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
35,Damage Reduction (Ki Sphere),739,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
36,Critical Hit Chance (Ki Sphere),738,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
37,Evasion Chance (Ki Sphere),737,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
38,Delay Target,885,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
39,Revive,680,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
40,Absorption/Nullification,825,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
41,Disable Action,888,2024-04-30 09:31:36.306210,2024-04-30 09:31:36.306210
