id,budokai_id,mission_type,name,priority,target_value,prev_budokai_mission_id,created_at,updated_at
1,3,1,Get 1 win in the 1st World Tournament,0,1,,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
2,3,1,Get 2 wins in the 1st World Tournament,0,2,1.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
3,3,1,Get 3 wins in the 1st World Tournament,0,3,2.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
4,3,1,Get 4 wins in the 1st World Tournament,0,4,3.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
5,3,1,Get 5 wins in the 1st World Tournament,0,5,4.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
6,3,1,Get 7 wins in the 1st World Tournament,0,7,5.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
7,3,1,Get 10 wins in the 1st World Tournament,0,10,6.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
8,3,1,Get 15 wins in the 1st World Tournament,0,15,7.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
9,3,1,Get 20 wins in the 1st World Tournament,0,20,8.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
10,3,1,Get 30 wins in the 1st World Tournament,0,30,9.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
11,3,1,Get 50 wins in the 1st World Tournament,0,50,10.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
12,3,1,Get 70 wins in the 1st World Tournament,0,70,11.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
13,3,1,Get 100 wins in the 1st World Tournament,0,100,12.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
14,3,2,Reach King Chappa Tier,0,2,,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
15,3,2,Reach Hercule Tier,0,3,14.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
16,3,2,Reach Videl Tier,0,4,15.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
17,3,2,Reach Master Roshi Tier,0,5,16.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
18,3,2,Reach Korin Tier,0,6,17.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
19,3,2,Reach Kami Tier,0,7,18.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
20,3,2,Reach King Yemma Tier,0,8,19.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
21,3,2,Reach King Kai Tier,0,9,20.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
22,3,2,Reach Supreme Kai Tier,0,10,21.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
23,3,2,Reach Elder Kai Tier,0,11,22.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
24,3,2,Reach Beerus Tier,0,12,23.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
25,4,1,Get 1 win in the 2nd World Tournament,0,1,,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
26,4,1,Get 2 wins in the 2nd World Tournament,0,2,25.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
27,4,1,Get 3 wins in the 2nd World Tournament,0,3,26.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
28,4,1,Get 4 wins in the 2nd World Tournament,0,4,27.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
29,4,1,Get 5 wins in the 2nd World Tournament,0,5,28.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
30,4,1,Get 6 wins in the 2nd World Tournament,0,6,29.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
31,4,1,Get 7 wins in the 2nd World Tournament,0,7,30.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
32,4,1,Get 10 wins in the 2nd World Tournament,0,10,31.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
33,4,1,Get 11 wins in the 2nd World Tournament,0,11,32.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
34,4,1,Get 12 wins in the 2nd World Tournament,0,12,33.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
35,4,1,Get 13 wins in the 2nd World Tournament,0,13,34.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
36,4,1,Get 14 wins in the 2nd World Tournament,0,14,35.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
37,4,1,Get 15 wins in the 2nd World Tournament,0,15,36.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
38,4,1,Get 16 wins in the 2nd World Tournament,0,16,37.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
39,4,1,Get 17 wins in the 2nd World Tournament,0,17,38.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
40,4,1,Get 18 wins in the 2nd World Tournament,0,18,39.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
41,4,1,Get 19 wins in the 2nd World Tournament,0,19,40.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
42,4,1,Get 20 wins in the 2nd World Tournament,0,20,41.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
43,4,1,Get 30 wins in the 2nd World Tournament,0,30,42.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
44,4,1,Get 50 wins in the 2nd World Tournament,0,50,43.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
45,4,1,Get 70 wins in the 2nd World Tournament,0,70,44.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
46,4,1,Get 100 wins in the 2nd World Tournament,0,100,45.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
47,4,2,Reach King Chappa Tier,0,2,,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
48,4,2,Reach Hercule Tier,0,3,47.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
49,4,2,Reach Videl Tier,0,4,48.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
50,4,2,Reach Master Roshi Tier,0,5,49.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
51,4,2,Reach Korin Tier,0,6,50.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
52,4,2,Reach Kami Tier,0,7,51.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
53,4,2,Reach King Yemma Tier,0,8,52.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
54,4,2,Reach King Kai Tier,0,9,53.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
55,4,2,Reach Supreme Kai Tier,0,10,54.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
56,4,2,Reach Elder Kai Tier,0,11,55.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
57,4,2,Reach Beerus Tier,0,12,56.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
58,5,1,Get 1 win in the 3rd World Tournament,0,1,,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
59,5,1,Get 2 wins in the 3rd World Tournament,0,2,58.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
60,5,1,Get 3 wins in the 3rd World Tournament,0,3,59.0,2024-02-27 09:30:24.100539,2024-02-27 09:30:24.100539
