id,label_name,grow_type,lv,image_number,point_total,created_at,updated_at
100001,Goku (Youth),1,1,1,0,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100002,Goku (Youth),1,2,2,50,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100003,Goku (Youth) (Giant Ape),1,3,3,120,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100004,Goku (Youth),1,4,4,200,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100005,Goku (Youth),1,5,5,300,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100006,Goku (Youth),1,6,6,400,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100007,Goku (Youth),1,7,7,500,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100008,Goku (Youth),1,8,8,600,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100009,Goku,1,9,9,777,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100010,Goku,1,10,10,900,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100011,Goku,1,11,11,1050,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
100012,Goku,1,12,12,1250,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101001,Goku (Youth),2,1,1,0,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101002,Goku (Youth) & Chi-Chi (Youth),2,2,13,50,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101003,Goku (Youth) (Giant Ape),2,3,3,120,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101004,Goku (Youth),2,4,4,200,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101005,Goku (Youth),2,5,5,300,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101006,Goku (Youth) & Chi-Chi (Youth),2,6,14,400,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101007,Goku (Youth),2,7,7,500,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101008,Goku (Youth),2,8,8,600,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101009,Goku,2,9,9,777,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101010,Goku & Chi-Chi,2,10,15,900,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101011,Goku & Chi-Chi,2,11,16,1050,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
101012,Goku & Chi-Chi,2,12,17,1250,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102001,Goku & Gohan (Kid),3,1,1,0,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102002,Goku (Angel),3,2,2,50,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102003,Goku (Angel) & Bubbles,3,3,3,120,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102004,Goku,3,4,4,200,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102005,Goku (Kaioken),3,5,5,300,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102006,Goku,3,6,6,450,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102007,Goku,3,7,7,550,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102008,Goku,3,8,8,650,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102009,Goku & Frieza (Final Form),3,9,9,750,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102010,Goku,3,10,10,900,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102011,Goku,3,11,11,1000,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
102012,Super Saiyan Goku,3,12,12,1250,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103001,Goku & Gohan (Kid),4,1,1,0,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103002,Gohan (Kid),4,2,2,50,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103003,Gohan (Kid) & Piccolo,4,3,3,100,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103004,Gohan (Kid) (Giant Ape),4,4,4,200,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103005,Gohan (Kid) & Piccolo,4,5,5,300,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103006,Gohan (Kid) & Piccolo,4,6,6,450,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103007,Gohan (Kid),4,7,7,500,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103008,Gohan (Kid) & Krillin,4,8,8,600,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103009,Gohan (Kid) & Krillin & Dende,4,9,9,720,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103010,Gohan (Kid),4,10,10,900,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103011,Gohan (Kid) & Piccolo,4,11,11,1050,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
103012,Gohan (Kid) & Dende,4,12,12,1250,2024-04-30 09:32:19.801486,2024-04-30 09:32:19.801486
