id,bgm_id,scene_name,start_at,end_at,created_at,updated_at
1,139,HomeMenuScene,2021-03-31 15:00:00,2021-04-01 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
2,168,HomeMenuScene,2022-03-01 06:00:00,2022-03-08 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
3,180,HomeMenuScene,2022-02-17 02:00:00,2022-03-01 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
4,170,HomeMenuScene,2022-03-31 15:00:00,2022-04-01 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
5,212,HomeMenuScene,2022-08-26 06:00:00,2022-09-09 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
6,213,HomeMenuScene,2022-09-09 06:00:00,2022-10-04 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
7,230,HomeMenuScene,2022-12-27 15:00:00,2023-01-29 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
8,168,HomeMenuScene,2023-01-29 06:00:00,2023-02-09 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
9,247,HomeMenuScene,2023-02-09 06:00:00,2023-02-12 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
10,248,HomeMenuScene,2023-02-12 15:00:00,2023-02-16 01:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
11,246,HomeMenuScene,2023-02-16 02:00:00,2023-02-19 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
12,249,HomeMenuScene,2023-02-19 15:00:00,2023-02-24 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
13,251,HomeMenuScene,2023-02-24 08:00:00,2023-02-28 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
14,253,HomeMenuScene,2023-02-28 08:00:00,2023-03-06 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
15,261,HomeMenuScene,2023-03-18 06:18:00,2023-03-31 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
16,301,HomeMenuScene,2023-06-28 15:00:00,2023-07-31 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
17,304,HomeMenuScene,2023-08-25 06:00:00,2023-09-14 23:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
18,306,HomeMenuScene,2023-09-15 00:00:00,2023-10-05 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
19,326,HomeMenuScene,2023-12-28 02:00:00,2024-01-22 07:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
20,178,HomeMenuScene,2024-01-29 04:00:00,2024-02-03 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
21,353,HomeMenuScene,2024-02-03 15:00:00,2024-02-11 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
22,230,HomeMenuScene,2024-02-11 06:00:00,2024-02-22 05:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
23,305,HomeMenuScene,2024-02-22 06:00:00,2024-02-28 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
24,352,HomeMenuScene,2024-02-28 15:00:00,2024-03-05 14:59:59,2024-02-21 02:05:36,2024-02-21 02:05:36
