id,link_skill_id,skill_lv,description,created_at,updated_at
101,1,1,気力+1,2023-02-08 01:01:41,2023-02-08 01:01:41
102,1,2,"気力+1、ATK,DEF1%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
103,1,3,"気力+1、ATK,DEF2%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
104,1,4,"気力+1、ATK,DEF3%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
105,1,5,"気力+1、ATK,DEF5%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
106,1,6,"気力+1、ATK,DEF6%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
107,1,7,"気力+1、ATK,DEF7%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
108,1,8,"気力+1、ATK,DEF8%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
109,1,9,"気力+1、ATK,DEF9%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
110,1,10,"気力+2、ATK,DEF10%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
201,2,1,気力+1,2023-02-08 01:01:41,2023-02-08 01:01:41
202,2,2,気力+1、ATK1%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
203,2,3,気力+1、ATK2%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
204,2,4,気力+1、ATK3%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
205,2,5,気力+1、ATK5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
206,2,6,気力+1、ATK6%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
207,2,7,気力+1、ATK7%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
208,2,8,気力+1、ATK8%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
209,2,9,気力+1、ATK9%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
210,2,10,気力+2、ATK10%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
301,3,1,DEF20%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
302,3,2,DEF21%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
303,3,3,DEF22%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
304,3,4,DEF23%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
305,3,5,DEF25%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
306,3,6,DEF26%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
307,3,7,DEF27%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
308,3,8,DEF28%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
309,3,9,DEF29%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
310,3,10,DEF30%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
401,4,1,ATK10%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
402,4,2,ATK10.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
403,4,3,ATK11%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
404,4,4,ATK11.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
405,4,5,ATK12.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
406,4,6,ATK13%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
407,4,7,ATK13.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
408,4,8,ATK14%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
409,4,9,ATK14.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
410,4,10,ATK15%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
501,5,1,ATK15%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
502,5,2,ATK15.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
503,5,3,ATK16%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
504,5,4,ATK16.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
505,5,5,ATK17.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
506,5,6,ATK18%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
507,5,7,ATK18.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
508,5,8,ATK19%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
509,5,9,ATK19.5%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
510,5,10,ATK20%UP,2023-02-08 01:01:41,2023-02-08 01:01:41
601,6,1,気力+1,2023-02-08 01:01:41,2023-02-08 01:01:41
602,6,2,"気力+1、ATK,DEF1%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
603,6,3,"気力+1、ATK,DEF2%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
604,6,4,"気力+1、ATK,DEF3%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
605,6,5,"気力+1、ATK,DEF5%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
606,6,6,"気力+1、ATK,DEF6%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
607,6,7,"気力+1、ATK,DEF7%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
608,6,8,"気力+1、ATK,DEF8%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
609,6,9,"気力+1、ATK,DEF9%UP",2023-02-08 01:01:41,2023-02-08 01:01:41
