id,character_number,name,max_lv,grow_type,start_at,end_at,created_at,updated_at
1001,1,孫悟空(少年期),12,1,2022-01-11 03:00:00,2022-01-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1002,1,孫悟空(少年期),12,1,2022-01-31 15:00:00,2022-02-28 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1003,1,孫悟空(少年期),12,1,2022-02-28 15:00:00,2022-03-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1004,1,孫悟空(少年期),12,1,2022-03-31 15:00:00,2022-04-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1005,1,孫悟空(少年期),12,2,2022-04-30 15:00:00,2022-05-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1006,1,孫悟空(少年期),12,2,2022-05-31 15:00:00,2022-06-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1007,1,孫悟空(少年期),12,2,2022-06-30 15:00:00,2022-07-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1008,1,孫悟空(少年期),12,2,2022-07-31 15:00:00,2022-08-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1009,1,孫悟空(少年期),12,2,2022-08-31 15:00:00,2022-09-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1010,1,孫悟空(少年期),12,2,2022-09-30 15:00:00,2022-10-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1011,1,孫悟空(少年期),12,2,2022-10-31 15:00:00,2022-11-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1012,2,孫悟空,12,3,2022-11-30 15:00:00,2022-12-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1013,2,孫悟空,12,3,2022-12-31 15:00:00,2023-01-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1014,2,孫悟空,12,3,2023-01-31 15:00:00,2023-02-28 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1015,2,孫悟空,12,3,2023-02-28 15:00:00,2023-03-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1016,2,孫悟空,12,3,2023-03-31 15:00:00,2023-04-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1017,2,孫悟空,12,3,2023-04-30 15:00:00,2023-05-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1018,2,孫悟空,12,3,2023-05-31 15:00:00,2023-06-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1019,2,孫悟空,12,3,2023-06-30 15:00:00,2023-07-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1020,2,孫悟空,12,3,2023-07-31 15:00:00,2023-08-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1021,2,孫悟空,12,3,2023-08-31 15:00:00,2023-09-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1022,2,孫悟空,12,3,2023-09-30 15:00:00,2023-10-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1023,3,孫悟飯(幼年期),12,4,2023-10-31 15:00:00,2023-11-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1024,3,孫悟飯(幼年期),12,4,2023-11-30 15:00:00,2023-12-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1025,3,孫悟飯(幼年期),12,4,2023-12-31 15:00:00,2024-01-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1026,3,孫悟飯(幼年期),12,4,2024-01-31 15:00:00,2024-02-29 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1027,3,孫悟飯(幼年期),12,4,2024-02-29 15:00:00,2024-03-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1028,3,孫悟飯(幼年期),12,4,2024-03-31 15:00:00,2024-04-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1029,3,孫悟飯(幼年期),12,4,2024-04-30 15:00:00,2024-05-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1030,3,孫悟飯(幼年期),12,4,2024-05-31 15:00:00,2024-06-30 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1031,3,孫悟飯(幼年期),12,4,2024-06-30 15:00:00,2024-07-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
1032,3,孫悟飯(幼年期),12,4,2024-07-31 15:00:00,2024-08-31 14:59:59,2024-04-25 02:02:30,2024-04-25 02:02:30
