id,standby_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
1,1,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
2,1,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 15, ""max_effect_value"": 4830}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
3,1,1,{},0,1,103,,"[4026400, 0, 1698]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
4,2,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
5,2,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 15, ""max_effect_value"": 4830}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
6,2,1,{},0,1,103,,"[4026401, 0, 1694]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
7,3,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
8,3,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [39], ""count_multiplier"": 20, ""max_effect_value"": 6440}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
9,3,1,{},0,1,103,,"[4025740, 0, 1699]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
10,4,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
11,4,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [39], ""count_multiplier"": 20, ""max_effect_value"": 6440}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
12,4,1,{},0,1,103,,"[4025741, 0, 1700]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
13,5,1,{},0,5,115,,"{""type"": ""revival"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
14,5,1,{},0,1,103,,"[4025780, 0, 1701]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
15,6,1,{},0,5,115,,"{""type"": ""revival"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
16,6,1,{},0,1,103,,"[4025781, 0, 1702]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
17,7,1,{},0,4,115,,"{""type"": ""revival"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
18,7,1,{},0,1,103,,"[4026540, 0, 1735]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
19,8,1,{},0,4,115,,"{""type"": ""revival"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
20,8,1,{},0,1,103,,"[4026541, 0, 1736]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
21,9,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
22,9,1,{},0,4,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 1, ""max_effect_value"": 30, ""ball_type_multiplier"": [1, 1, 2, 1, 1, 2]}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
23,9,1,{},0,1,103,,"[4026910, 0, 1743]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
24,10,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
25,10,1,{},0,4,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 1, ""max_effect_value"": 30, ""ball_type_multiplier"": [1, 1, 2, 1, 1, 2]}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
26,10,1,{},0,1,103,,"[4026911, 0, 1744]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
27,11,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
28,11,1,{},0,4,116,,"{""type"": ""attack"", ""gauge_value"": [1], ""count_multiplier"": 50, ""max_effect_value"": 12100}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
29,11,1,{},0,1,103,,"[4027300, 0, 1754]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
30,12,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
31,12,1,{},0,4,116,,"{""type"": ""attack"", ""gauge_value"": [1], ""count_multiplier"": 50, ""max_effect_value"": 12100}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
32,12,1,{},0,1,103,,"[4027301, 0, 1755]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
33,13,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
34,13,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 15, ""max_effect_value"": 4830}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
35,13,1,{},0,1,103,,"[9526400, 0, 1698]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
36,14,1,{},0,5,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
37,14,1,{},0,5,116,,"{""type"": ""energy_ball"", ""gauge_value"": [30], ""count_multiplier"": 15, ""max_effect_value"": 4830}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
38,14,1,{},0,1,103,,"[9526401, 0, 1694]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
39,15,1,{},0,5,115,,"{""type"": ""special_counter"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
40,15,1,{},0,1,103,,"[4027630, 0, 1772]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
41,16,1,{},0,5,115,,"{""type"": ""special_counter"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
42,16,1,{},0,1,103,,"[4027631, 0, 1772]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
43,17,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
44,17,1,{},0,4,116,,"{""type"": ""attack"", ""gauge_value"": [1], ""count_multiplier"": 100, ""max_effect_value"": 24200}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
45,17,1,{},0,1,103,,"[4028380, 0, 1789]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
46,18,1,{},0,4,115,,"{""type"": ""charge"", ""is_active"": true}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
47,18,1,{},0,4,116,,"{""type"": ""attack"", ""gauge_value"": [1], ""count_multiplier"": 100, ""max_effect_value"": 24200}",,,2024-02-15 00:09:07,2024-02-15 00:09:07
48,18,1,{},0,1,103,,"[4028381, 0, 1790]",,,2024-02-15 00:09:07,2024-02-15 00:09:07
