id,area_id,rank_range_id,description,priority,created_at,updated_at
1,101,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
2,102,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
3,103,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
4,104,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
5,105,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
7,120,2,仲間を強くしたい！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
10,301,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
11,404,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
12,401,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
13,302,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
14,405,3,イベントリニューアル,100,2024-04-25 02:02:10,2024-04-25 02:02:10
15,303,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
16,406,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
18,408,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
22,409,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
23,410,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
24,411,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
25,306,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
26,412,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
27,307,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
28,308,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
29,309,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
30,310,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
31,311,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
32,312,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
33,313,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
34,314,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
35,315,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
36,130,2,仲間を強くしたい！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
37,413,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
40,501,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
41,414,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
42,318,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
43,415,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
44,502,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
45,416,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
46,417,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
47,418,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
48,503,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
49,419,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
50,319,3,特殊ルールに挑戦！,0,2024-04-25 02:02:10,2024-04-25 02:02:10
51,106,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
52,107,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
