id,name,description,rarity,selling_exchange_point,created_at,updated_at
1,天下一ガシャチケット,"「天下一武道会」報酬のガシャチケット。
5枚集めると「天下一チケットガシャ」を
1回引くことができる。",2,2,2024-05-20 01:35:58,2024-05-20 01:35:58
2,天下一ガシャチケット,"「天下一武道会」報酬のガシャチケット。
1枚で「天下一チケットガシャ」を
1回引くことができる。",3,10,2024-05-20 01:35:58,2024-05-20 01:35:58
3,SSR確定ガシャチケット,"SSR確定ガシャのチケット。
5枚集めるとSSR確定ガシャを1回引くことができる。",2,200,2024-05-20 01:35:58,2024-05-20 01:35:58
4,SSR確定ガシャチケット,"SSR確定ガシャのチケット。
1枚でSSR確定ガシャを1回引くことができる。",3,1000,2024-05-20 01:35:58,2024-05-20 01:35:58
5,SR以上確定ガシャチケット ,"SR以上確定ガシャのチケット。
1枚でSR以上確定ガシャを1回引くことができる。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
6,SSR確定ガシャチケット,"「カムバック限定」のSSR確定ガシャチケット。
1枚でSSR確定ガシャを1回引くことができる。",3,10000,2024-05-20 01:35:58,2024-05-20 01:35:58
7,SSR確定ガシャチケット,"「ランキング1位記念」のSSR確定ガシャチケット。
1枚でSSR確定ガシャを1回引くことができる。",3,10000,2024-05-20 01:35:58,2024-05-20 01:35:58
8,応募証明書,"7777フィギュアプレゼントキャンペーンに
応募していることを証明するもの。
30thコインと交換で入手することが可能。",3,0,2024-05-20 01:35:58,2024-05-20 01:35:58
9,フィギュア獲得権,"第13回天下一武道会100位入賞の報酬
コラボプレミアムver.",3,0,2024-05-20 01:35:58,2024-05-20 01:35:58
10,記念ガシャチケット,"「全世界1億DL記念」のガシャチケット。
1枚で記念ガシャを1回引くことができる。
使用期限は12/13 16:59まで。",3,50,2024-05-20 01:35:58,2024-05-20 01:35:58
11,記念ガシャチケット 1/29,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は1/29 12:00から1/29 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
12,記念ガシャチケット 1/30,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は1/30 00:00から1/30 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
13,記念ガシャチケット 1/31,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は1/31 00:00から1/31 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
14,記念ガシャチケット 2/1,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/1 00:00から2/1 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
15,記念ガシャチケット 2/2,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/2 00:00から2/2 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
16,記念ガシャチケット 2/3,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/3 00:00から2/3 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
17,記念ガシャチケット 2/4,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/4 00:00から2/4 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
18,記念ガシャチケット 2/5,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/5 00:00から2/5 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
19,記念ガシャチケット 2/6,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/6 00:00から2/6 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
20,記念ガシャチケット 2/7,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/7 00:00から2/7 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
21,記念ガシャチケット 2/8,"「2周年記念」のデイリーガシャチケット。
1枚で2周年記念デイリーガシャを1回引くことができる。
使用期限は2/8 00:00から2/8 23:59まで。",3,500,2024-05-20 01:35:58,2024-05-20 01:35:58
