id,name,description,zeni,rarity,selling_exchange_point,event_jumpable,created_at,updated_at
1,グレゴリー,安易に入手可能な、ありふれた覚醒素材,500,0,1,0,2024-05-20 01:32:39,2024-05-20 01:32:39
2,バブルス,安易に入手可能な、ありふれた覚醒素材,500,0,1,0,2024-05-20 01:32:39,2024-05-20 01:32:39
3,ドクター・ゲロ,安易に入手可能な、ありふれた覚醒素材,500,0,1,0,2024-05-20 01:32:39,2024-05-20 01:32:39
4,ミスター・ポポ,主に技属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0,2024-05-20 01:32:39,2024-05-20 01:32:39
5,鶴仙人,主に知属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0,2024-05-20 01:32:39,2024-05-20 01:32:39
6,亀仙人,主に力属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0,2024-05-20 01:32:39,2024-05-20 01:32:39
7,武泰斗,主に体属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0,2024-05-20 01:32:39,2024-05-20 01:32:39
8,孫悟飯(じいちゃん),主に速属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0,2024-05-20 01:32:39,2024-05-20 01:32:39
9,神様,主に知属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0,2024-05-20 01:32:39,2024-05-20 01:32:39
10,最長老,主に体属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0,2024-05-20 01:32:39,2024-05-20 01:32:39
11,バビディ,主に技属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0,2024-05-20 01:32:39,2024-05-20 01:32:39
12,ビビディ,主に力属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0,2024-05-20 01:32:39,2024-05-20 01:32:39
13,カリン,主に速属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0,2024-05-20 01:32:39,2024-05-20 01:32:39
14,キビト,主に速属性の覚醒に必要な素材で、入手が困難,250000,3,100,0,2024-05-20 01:32:39,2024-05-20 01:32:39
15,西の界王,主に知属性の覚醒に必要な素材で、入手が困難,250000,3,100,0,2024-05-20 01:32:39,2024-05-20 01:32:39
16,南の界王,主に力属性の覚醒に必要な素材で、入手が困難,250000,3,100,0,2024-05-20 01:32:39,2024-05-20 01:32:39
17,東の界王,主に体属性の覚醒に必要な素材で、入手が困難,250000,3,100,0,2024-05-20 01:32:39,2024-05-20 01:32:39
18,北の界王,主に技属性の覚醒に必要な素材で、入手が困難,250000,3,100,0,2024-05-20 01:32:39,2024-05-20 01:32:39
19,東の界王神,極稀に手に入る、究極の覚醒素材,500000,3,2000,0,2024-05-20 01:32:39,2024-05-20 01:32:39
20,老界王神,極稀に手に入る、究極の覚醒素材,500000,3,2000,0,2024-05-20 01:32:39,2024-05-20 01:32:39
101,孫悟空,特定のキャラクターの覚醒に必要,50000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
102,ドクター・ゲロ,特定のキャラクターの覚醒に必要,50000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
103,人造人間19号,特定のキャラクターの覚醒に必要,50000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
104,人造人間14号,特定のキャラクターの覚醒に必要,50000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
105,人造人間15号,特定のキャラクターの覚醒に必要,50000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
321,トランクス(青年期),"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
秘宝「ふしぎな宝石(緑)」と交換することができる",50000,3,12,0,2024-05-20 01:32:39,2024-05-20 01:32:39
322,超サイヤ人トランクス(青年期)&超サイヤ人ブロリー,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
秘宝「ふしぎな宝石(緑)」と交換することができる",50000,3,12,0,2024-05-20 01:32:39,2024-05-20 01:32:39
1001,ウミガメ,特定のキャラクターの覚醒に必要,6000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
1002,ブルマ,特定のキャラクターの覚醒に必要,6000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
1391,ヤムチャ ,特定のキャラクターの覚醒に必要,320,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
3030,バーダック,特定のキャラクターの覚醒に必要,20000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
3031,セリパ,特定のキャラクターの覚醒に必要,6000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
3032,トテッポ,特定のキャラクターの覚醒に必要,6000,3,12,1,2024-05-20 01:32:39,2024-05-20 01:32:39
