id,comment,created_at,updated_at
10,速のBランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
11,技のBランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
12,知のBランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
13,力のBランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
14,体のBランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
20,速のAランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
21,技のAランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
22,知のAランク。全てのベースとなるボード。,2016-11-29 03:06:39,2016-11-29 03:06:39
23,力のAランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
24,体のAランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
30,速のSランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
31,技のSランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
32,知のSランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
33,力のSランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
34,体のSランク。,2016-11-29 03:06:39,2016-11-29 03:06:39
120,速のAランク、特殊設定キャラクター用。,2016-11-29 03:06:39,2016-11-29 03:06:39
121,技のAランク、特殊設定キャラクター用。,2016-11-29 03:06:39,2016-11-29 03:06:39
122,知のAランク、特殊設定キャラクター用。,2016-11-29 03:06:39,2016-11-29 03:06:39
123,力のAランク、特殊設定キャラクター用。,2016-11-29 03:06:39,2016-11-29 03:06:39
124,体のAランク、特殊設定キャラクター用。,2016-11-29 03:06:39,2016-11-29 03:06:39
201,孫悟空Jr専用,2017-05-08 02:22:01,2017-05-08 02:22:01
202,ブルマ(少女期)専用,2017-07-28 02:18:12,2017-07-28 02:18:12
203,孫悟飯(幼年期)専用,2018-01-27 00:14:22,2018-01-27 00:14:22
204,バータ専用,2018-02-20 02:15:31,2018-02-20 02:15:31
205,グルド専用,2018-02-20 02:15:31,2018-02-20 02:15:31
206,ギニュー専用,2018-02-20 02:15:31,2018-02-20 02:15:31
207,ジース専用,2018-02-20 02:15:31,2018-02-20 02:15:31
208,リクーム専用,2018-02-20 02:15:31,2018-02-20 02:15:31
209,ピッコロ専用,2018-08-27 02:07:19,2018-08-27 02:07:19
210,トランクス(幼年期)&孫悟天(幼年期)&マーロン専用,2018-09-12 02:09:12,2018-09-12 02:09:12
211,ギル専用,2019-01-28 02:04:11,2019-01-28 02:04:11
212,ベジータJr.専用,2019-02-14 03:06:21,2019-02-14 03:06:21
213,孫悟空(DOKKAN武闘伝)専用,2019-03-31 13:33:11,2019-03-31 13:33:11
214,ベジータ(DOKKAN武闘伝)専用,2019-03-31 13:33:11,2019-03-31 13:33:11
215,フリーザ(第二形態)専用,2019-05-30 02:07:42,2019-05-30 02:07:42
216,ベジータ専用,2019-07-29 02:04:28,2019-07-29 02:04:28
217,孫悟空専用,2019-08-26 02:04:31,2019-08-26 02:04:31
218,ブロリー(幼年期)専用,2020-01-28 02:05:19,2020-01-28 02:05:19
219,ベジータ(幼年期)専用,2020-01-28 02:05:19,2020-01-28 02:05:19
220,トテッポ専用,2020-03-17 02:06:16,2020-03-17 02:06:16
221,トーマ専用,2020-03-17 02:06:16,2020-03-17 02:06:16
222,セリパ専用,2020-03-17 02:06:16,2020-03-17 02:06:16
223,バーダック専用,2020-03-17 02:06:16,2020-03-17 02:06:16
224,パンブーキン専用,2020-03-17 02:06:16,2020-03-17 02:06:16
225,ブルマ(少女期)専用,2020-03-31 02:06:36,2020-03-31 02:06:36
