id,budokai_id,round,created_at,updated_at
1,1,1,2024-03-22 02:20:08,2024-03-22 02:20:08
2,1,2,2024-03-22 02:20:08,2024-03-22 02:20:08
3,1,3,2024-03-22 02:20:08,2024-03-22 02:20:08
4,1,4,2024-03-22 02:20:08,2024-03-22 02:20:08
5,1,5,2024-03-22 02:20:08,2024-03-22 02:20:08
6,1,6,2024-03-22 02:20:08,2024-03-22 02:20:08
7,2,1,2024-03-22 02:20:08,2024-03-22 02:20:08
8,2,2,2024-03-22 02:20:08,2024-03-22 02:20:08
9,2,3,2024-03-22 02:20:08,2024-03-22 02:20:08
10,2,4,2024-03-22 02:20:08,2024-03-22 02:20:08
11,2,5,2024-03-22 02:20:08,2024-03-22 02:20:08
12,3,1,2024-03-22 02:20:08,2024-03-22 02:20:08
13,3,2,2024-03-22 02:20:08,2024-03-22 02:20:08
14,3,3,2024-03-22 02:20:08,2024-03-22 02:20:08
15,3,4,2024-03-22 02:20:08,2024-03-22 02:20:08
16,4,1,2024-03-22 02:20:08,2024-03-22 02:20:08
17,4,2,2024-03-22 02:20:08,2024-03-22 02:20:08
18,4,3,2024-03-22 02:20:08,2024-03-22 02:20:08
19,4,4,2024-03-22 02:20:08,2024-03-22 02:20:08
20,5,1,2024-03-22 02:20:08,2024-03-22 02:20:08
21,5,2,2024-03-22 02:20:08,2024-03-22 02:20:08
22,5,3,2024-03-22 02:20:08,2024-03-22 02:20:08
23,5,4,2024-03-22 02:20:08,2024-03-22 02:20:08
24,6,1,2024-03-22 02:20:08,2024-03-22 02:20:08
25,6,2,2024-03-22 02:20:08,2024-03-22 02:20:08
26,6,3,2024-03-22 02:20:08,2024-03-22 02:20:08
27,6,4,2024-03-22 02:20:08,2024-03-22 02:20:08
28,7,1,2024-03-22 02:20:08,2024-03-22 02:20:08
29,7,2,2024-03-22 02:20:08,2024-03-22 02:20:08
30,7,3,2024-03-22 02:20:08,2024-03-22 02:20:08
31,7,4,2024-03-22 02:20:08,2024-03-22 02:20:08
32,8,1,2024-03-22 02:20:08,2024-03-22 02:20:08
33,8,2,2024-03-22 02:20:08,2024-03-22 02:20:08
34,8,3,2024-03-22 02:20:08,2024-03-22 02:20:08
35,8,4,2024-03-22 02:20:08,2024-03-22 02:20:08
36,9,1,2024-03-22 02:20:08,2024-03-22 02:20:08
37,9,2,2024-03-22 02:20:08,2024-03-22 02:20:08
38,9,3,2024-03-22 02:20:08,2024-03-22 02:20:08
