id,skill_type,skill_id,description,created_at,updated_at
8,PassiveSkill,2001090,バトル開始から6ターン目以降&HP50%以下のときポタラで合体する,2024-05-02 02:07:09,2024-05-02 02:07:09
9,PassiveSkill,2001091,バトル開始から6ターン目以降&HP50%以下のときポタラで合体する,2024-05-02 02:07:09,2024-05-02 02:07:09
10,PassiveSkill,2001095,バトル開始から6ターン目以降&HP50%以下のときフュージョンする,2024-05-02 02:07:09,2024-05-02 02:07:09
11,PassiveSkill,2001096,バトル開始から6ターン目以降&HP50%以下のときフュージョンする,2024-05-02 02:07:09,2024-05-02 02:07:09
16,PassiveSkill,1001126,HP50%以下のとき覚醒する,2024-05-02 02:07:09,2024-05-02 02:07:09
17,PassiveSkill,1001127,HP50%以下のとき覚醒する,2024-05-02 02:07:09,2024-05-02 02:07:09
18,PassiveSkill,3001133,HP80%以下のとき25%の確率で、3ターン神精樹の実で強化する,2024-05-02 02:07:09,2024-05-02 02:07:09
19,PassiveSkill,3001134,HP80%以下のとき25%の確率で、3ターン神精樹の実で強化する,2024-05-02 02:07:09,2024-05-02 02:07:09
20,PassiveSkill,3001154,バトル開始から4ターン目以降&30%の確率で進化する,2024-05-02 02:07:09,2024-05-02 02:07:09
21,PassiveSkill,3001155,バトル開始から4ターン目以降&30%の確率で進化する,2024-05-02 02:07:09,2024-05-02 02:07:09
22,PassiveSkill,3001226,"バトル開始から4ターン目以降
&HP50%以上のとき30%の確率でセルを捕食し変身する",2024-05-02 02:07:09,2024-05-02 02:07:09
23,PassiveSkill,3001227,"バトル開始から4ターン目以降
&HP50%以上のとき30%の確率でセルを捕食し変身する",2024-05-02 02:07:09,2024-05-02 02:07:09
24,PassiveSkill,3001254,バトル開始から5ターン目以降ネイルと同化する,2024-05-02 02:07:09,2024-05-02 02:07:09
25,PassiveSkill,3001255,バトル開始から5ターン目以降ネイルと同化する,2024-05-02 02:07:09,2024-05-02 02:07:09
27,PassiveSkill,3001257,バトル開始から5ターン目以降ネイルと同化する,2024-05-02 02:07:09,2024-05-02 02:07:09
