id,ai_type,action_type,weight,hp_rate_begin,hp_rate_end,min_interval,max_number,atk_rate_1,atk_rate_2,max_num_per_turn,recover_hp_rate,next_ai_type,ai_param,ai_param2,attack_order,created_at,updated_at
1,1,1,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
2,2,2,100,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
3,2,1,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
4,3,2,50,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
5,3,2,25,31.0,50.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
6,3,2,7,51.0,80.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
7,3,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
8,4,2,25,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
9,4,1,75,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
10,5,2,33,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
11,5,1,67,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
12,6,2,50,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
13,6,1,50,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
14,7,2,99,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
15,7,1,1,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
16,8,2,100,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
17,9,2,100,0.0,100.0,1,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
18,10,2,75,0.0,30.0,0,1,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
19,10,1,25,0.0,30.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
20,11,2,100,90.0,100.0,0,1,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
21,11,2,30,0.0,90.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
22,11,1,70,0.0,90.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
23,12,1,83,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
24,12,2,17,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
25,13,2,100,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
26,13,2,100,0.0,50.0,1,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
27,14,2,100,50.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
28,14,2,100,0.0,50.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
29,15,2,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
30,16,2,30,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
31,16,2,15,31.0,50.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
32,16,2,5,51.0,80.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
33,16,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
