id,condition_set_id,condition_id,created_at,updated_at
1,1,1,2016-11-29 03:06:41,2016-11-29 03:06:41
2,1,2,2016-11-29 03:06:41,2016-11-29 03:06:41
3,1,3,2016-11-29 03:06:41,2016-11-29 03:06:41
4,2,4,2016-11-29 03:06:41,2016-11-29 03:06:41
5,3,5,2016-11-29 03:06:41,2016-11-29 03:06:41
6,4,5,2016-11-29 03:06:41,2016-11-29 03:06:41
7,4,6,2016-11-29 03:06:41,2016-11-29 03:06:41
8,5,5,2016-11-29 03:06:41,2016-11-29 03:06:41
9,5,2,2016-11-29 03:06:41,2016-11-29 03:06:41
10,5,3,2016-11-29 03:06:41,2016-11-29 03:06:41
11,6,7,2016-11-29 03:06:41,2016-11-29 03:06:41
12,6,8,2016-11-29 03:06:41,2016-11-29 03:06:41
13,6,9,2016-11-29 03:06:41,2016-11-29 03:06:41
14,7,1,2016-11-29 03:06:41,2016-11-29 03:06:41
15,7,10,2016-11-29 03:06:41,2016-11-29 03:06:41
16,7,11,2016-11-29 03:06:41,2016-11-29 03:06:41
17,8,12,2016-11-29 03:06:41,2016-11-29 03:06:41
18,8,10,2016-11-29 03:06:41,2016-11-29 03:06:41
19,8,9,2016-11-29 03:06:41,2016-11-29 03:06:41
20,9,13,2016-11-29 03:06:41,2016-11-29 03:06:41
21,9,5,2016-11-29 03:06:41,2016-11-29 03:06:41
22,9,6,2016-11-29 03:06:41,2016-11-29 03:06:41
23,10,13,2016-11-29 03:06:41,2016-11-29 03:06:41
24,10,5,2016-11-29 03:06:41,2016-11-29 03:06:41
25,10,2,2016-11-29 03:06:41,2016-11-29 03:06:41
26,11,14,2016-11-29 03:06:41,2016-11-29 03:06:41
27,11,5,2016-11-29 03:06:41,2016-11-29 03:06:41
28,11,2,2016-11-29 03:06:41,2016-11-29 03:06:41
29,11,3,2016-11-29 03:06:41,2016-11-29 03:06:41
30,12,14,2016-11-29 03:06:41,2016-11-29 03:06:41
31,12,5,2016-11-29 03:06:41,2016-11-29 03:06:41
32,12,2,2016-11-29 03:06:41,2016-11-29 03:06:41
33,13,15,2016-11-29 03:06:41,2016-11-29 03:06:41
34,13,5,2016-11-29 03:06:41,2016-11-29 03:06:41
35,13,2,2016-11-29 03:06:41,2016-11-29 03:06:41
36,14,13,2016-11-29 03:06:41,2016-11-29 03:06:41
37,14,5,2016-11-29 03:06:41,2016-11-29 03:06:41
38,15,15,2016-11-29 03:06:41,2016-11-29 03:06:41
39,15,5,2016-11-29 03:06:41,2016-11-29 03:06:41
40,15,6,2016-11-29 03:06:41,2016-11-29 03:06:41
41,16,15,2016-11-29 03:06:41,2016-11-29 03:06:41
42,16,5,2016-11-29 03:06:41,2016-11-29 03:06:41
43,16,2,2016-11-29 03:06:41,2016-11-29 03:06:41
44,16,3,2016-11-29 03:06:41,2016-11-29 03:06:41
45,17,14,2016-11-29 03:06:41,2016-11-29 03:06:41
46,17,16,2016-11-29 03:06:41,2016-11-29 03:06:41
47,17,10,2016-11-29 03:06:41,2016-11-29 03:06:41
48,17,11,2016-11-29 03:06:41,2016-11-29 03:06:41
49,18,17,2016-11-29 03:06:41,2016-11-29 03:06:41
50,18,16,2016-11-29 03:06:41,2016-11-29 03:06:41
51,18,10,2016-11-29 03:06:41,2016-11-29 03:06:41
52,18,11,2016-11-29 03:06:41,2016-11-29 03:06:41
53,19,18,2016-11-29 03:06:41,2016-11-29 03:06:41
