id,type,amount,created_at,updated_at
11,Point::Stone,1,2015-09-30 04:37:32,2015-09-30 04:37:32
12,Point::GashaPoint,1,2015-09-30 04:37:32,2015-09-30 04:37:32
13,Point::Zeni,1,2015-09-30 04:37:32,2015-09-30 04:37:32
14,Point::ExchangePoint,1,2015-09-30 04:37:32,2015-09-30 04:37:32
21,Point::Stone,2,2015-09-30 04:37:32,2015-09-30 04:37:32
31,Point::Stone,3,2015-09-30 04:37:32,2015-09-30 04:37:32
41,Point::Stone,4,2015-09-30 04:37:32,2015-09-30 04:37:32
51,Point::Stone,5,2015-09-30 04:37:32,2015-09-30 04:37:32
71,Point::Stone,7,2015-09-30 04:37:32,2015-09-30 04:37:32
101,Point::Stone,10,2015-09-30 04:37:32,2015-09-30 04:37:32
502,Point::GashaPoint,50,2015-09-30 04:37:32,2015-09-30 04:37:32
1002,Point::GashaPoint,100,2015-09-30 04:37:32,2015-09-30 04:37:32
2002,Point::GashaPoint,200,2015-09-30 04:37:32,2015-09-30 04:37:32
5002,Point::GashaPoint,500,2015-09-30 04:37:32,2015-09-30 04:37:32
5003,Point::Zeni,500,2015-09-30 04:37:32,2015-09-30 04:37:32
10002,Point::GashaPoint,1000,2016-12-13 03:59:49,2016-12-13 03:59:49
10003,Point::Zeni,1000,2015-09-30 04:37:32,2015-09-30 04:37:32
12003,Point::Zeni,1200,2015-09-30 04:37:32,2015-09-30 04:37:32
15003,Point::Zeni,1500,2015-09-30 04:37:32,2015-09-30 04:37:32
20002,Point::GashaPoint,2000,2015-09-30 04:37:32,2015-09-30 04:37:32
30002,Point::GashaPoint,3000,2015-09-30 04:37:32,2015-09-30 04:37:32
30003,Point::Zeni,3000,2015-09-30 04:37:32,2015-09-30 04:37:32
50002,Point::GashaPoint,5000,2015-09-30 04:37:32,2015-09-30 04:37:32
50003,Point::Zeni,5000,2015-09-30 04:37:32,2015-09-30 04:37:32
70003,Point::Zeni,7000,2015-09-30 04:37:32,2015-09-30 04:37:32
100002,Point::GashaPoint,10000,2015-09-30 04:37:32,2015-09-30 04:37:32
100003,Point::Zeni,10000,2015-09-30 04:37:32,2015-09-30 04:37:32
125003,Point::Zeni,12500,2015-09-30 04:37:32,2015-09-30 04:37:32
500003,Point::Zeni,50000,2015-09-30 04:37:32,2015-09-30 04:37:32
590003,Point::Zeni,59000,2015-09-30 04:37:32,2015-09-30 04:37:32
1000003,Point::Zeni,100000,2015-09-30 04:37:32,2015-09-30 04:37:32
10000003,Point::Zeni,1000000,2015-09-30 04:37:32,2015-09-30 04:37:32
