id,name,description,max_exec_count,priority,support_film_id,cost,unlock_quantity,script_name,lite_flicker_rate,open_at,close_at,created_at,updated_at
10001,ウーロンの願い,"特殊効果「追加ドロップ率UP」があるイベントで
追加ドロップ率が50%UP(1回のみ)",1,0,1,70,100,sm10001,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
10002,孫悟空の結婚,"バトル中「孫悟空の系譜」カテゴリの
味方全員のATKとDEF10%UP",1,0,1,200,10,sm10002,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
10003,修業完了！！,"バトル開始から3000ターンの間、
味方全員のATKとDEF3000UP、
会心の発動確率3%UP(1回のみ)",1,0,1,70,100,sm10003,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
10004,武道家の意地,"バトル開始から3ターン目以降、
「天下一武道会」カテゴリのキャラが
敵かチームにいるとき、
3ターンの間、味方全員の気力+1、
ATKとDEF10%UP(1回のみ)",1,0,1,120,100,sm10004,50,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
10005,筋斗雲との出会い,"バトル開始から2ターンの間、
「少年編」カテゴリの
味方全員のATKとDEF10%UP(1回のみ)",1,0,1,100,9,sm10005,30,2023-05-22 08:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
10006,初めてのともだち,"バトル開始から2ターンの間、
「少年・少女」または「人造人間」カテゴリの
味方全員のATKとDEFと会心率8%UP(1回のみ)",1,0,1,120,6,sm10006,30,2024-03-05 08:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20001,怒りのフリーザ,"超系の敵がいるとき、1ターンの間、
極系の味方全員のATK15%UP(1回のみ)",1,0,2,70,100,sm20001,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20002,密かな想い,"バトル開始から2ターンの間、
「魔人ブウ編」カテゴリの
味方全員の気力+2",1,0,2,120,100,sm20002,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20003,地上最強のコンビ誕生,"バトル開始から2ターンの間、
味方全体の気力+2(1回のみ)",1,0,2,100,12,sm20003,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20004,超サイヤ人を超えろ！,"バトル開始から2ターンの間、
「超サイヤ人」カテゴリの
味方全員のATKとDEF10%UP、
または「超サイヤ人2」カテゴリの
味方全員のATKとDEF20%UP(1回のみ)",1,0,2,150,100,sm20004,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20005,戦闘力530000,"バトル中「ナメック星編」カテゴリの
極系の味方全員のATKとDEF15%UP",1,0,2,200,100,sm20005,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20006,怒りによって目覚めた戦士,"バトル中「ナメック星編」カテゴリの
超系の味方全員のATKとDEF15%UP",1,0,2,200,100,sm20006,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20007,悟飯の涙,"バトル開始から2ターンの間、
「孫悟空の系譜」カテゴリの
味方全員のATKとDEF10%UP(1回のみ)",1,0,2,100,100,sm20007,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20008,奇妙な巡り合わせ,"バトル開始から4ターン目、
または自身のHP40%以下で
チームに「純粋サイヤ人」カテゴリの
味方がいるとき、
HPが35%回復する(1回のみ)",1,0,2,170,100,sm20008,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
20009,ギニューのスーパーファイティングポーズ,"超系の敵がいるとき、2ターンの間、
極系の味方全員のATKとDEF10%UP(1回のみ)",1,0,2,120,100,sm20009,30,2000-01-01 00:00:00,2030-01-01 00:00:00,2024-05-13 02:07:25,2024-05-13 02:07:25
