id,sub_target_type_set_id,target_value_type,target_value,created_at,updated_at
1,1,1,1,2024-05-13 02:06:58,2024-05-13 02:06:58
2,2,1,2,2024-05-13 02:06:58,2024-05-13 02:06:58
5,4,2,1,2024-05-13 02:06:58,2024-05-13 02:06:58
6,5,2,2,2024-05-13 02:06:58,2024-05-13 02:06:58
10,8,1,5,2024-05-13 02:06:58,2024-05-13 02:06:58
11,9,1,3,2024-05-13 02:06:58,2024-05-13 02:06:58
12,10,1,4,2024-05-13 02:06:58,2024-05-13 02:06:58
13,11,1,6,2024-05-13 02:06:58,2024-05-13 02:06:58
14,12,1,7,2024-05-13 02:06:58,2024-05-13 02:06:58
15,13,2,7,2024-05-13 02:06:58,2024-05-13 02:06:58
16,14,1,8,2024-05-13 02:06:58,2024-05-13 02:06:58
17,15,2,8,2024-05-13 02:06:58,2024-05-13 02:06:58
19,17,1,9,2024-05-13 02:06:58,2024-05-13 02:06:58
20,18,1,10,2024-05-13 02:06:58,2024-05-13 02:06:58
21,19,1,11,2024-05-13 02:06:58,2024-05-13 02:06:58
22,20,1,12,2024-05-13 02:06:58,2024-05-13 02:06:58
23,21,2,12,2024-05-13 02:06:58,2024-05-13 02:06:58
24,22,1,13,2024-05-13 02:06:58,2024-05-13 02:06:58
25,23,3,1,2024-05-13 02:06:58,2024-05-13 02:06:58
26,24,3,2,2024-05-13 02:06:58,2024-05-13 02:06:58
27,25,3,4,2024-05-13 02:06:58,2024-05-13 02:06:58
28,26,1,14,2024-05-13 02:06:58,2024-05-13 02:06:58
29,27,2,14,2024-05-13 02:06:58,2024-05-13 02:06:58
30,28,2,10,2024-05-13 02:06:58,2024-05-13 02:06:58
31,29,1,15,2024-05-13 02:06:58,2024-05-13 02:06:58
32,30,2,6,2024-05-13 02:06:58,2024-05-13 02:06:58
33,31,1,16,2024-05-13 02:06:58,2024-05-13 02:06:58
34,32,2,16,2024-05-13 02:06:58,2024-05-13 02:06:58
35,33,1,17,2024-05-13 02:06:58,2024-05-13 02:06:58
36,34,2,4,2024-05-13 02:06:58,2024-05-13 02:06:58
37,35,1,18,2024-05-13 02:06:58,2024-05-13 02:06:58
38,36,2,13,2024-05-13 02:06:58,2024-05-13 02:06:58
39,37,1,19,2024-05-13 02:06:58,2024-05-13 02:06:58
40,38,1,20,2024-05-13 02:06:58,2024-05-13 02:06:58
41,39,2,20,2024-05-13 02:06:58,2024-05-13 02:06:58
42,40,1,21,2024-05-13 02:06:58,2024-05-13 02:06:58
43,41,2,21,2024-05-13 02:06:58,2024-05-13 02:06:58
44,42,2,18,2024-05-13 02:06:58,2024-05-13 02:06:58
45,43,1,22,2024-05-13 02:06:58,2024-05-13 02:06:58
46,44,2,22,2024-05-13 02:06:58,2024-05-13 02:06:58
47,45,1,23,2024-05-13 02:06:58,2024-05-13 02:06:58
48,46,2,23,2024-05-13 02:06:58,2024-05-13 02:06:58
49,47,1,24,2024-05-13 02:06:58,2024-05-13 02:06:58
50,48,2,24,2024-05-13 02:06:58,2024-05-13 02:06:58
51,49,1,25,2024-05-13 02:06:58,2024-05-13 02:06:58
52,50,2,25,2024-05-13 02:06:58,2024-05-13 02:06:58
53,51,1,26,2024-05-13 02:06:58,2024-05-13 02:06:58
54,52,2,26,2024-05-13 02:06:58,2024-05-13 02:06:58
57,54,1,6,2024-05-13 02:06:58,2024-05-13 02:06:58
58,54,2,27,2024-05-13 02:06:58,2024-05-13 02:06:58
59,55,1,27,2024-05-13 02:06:58,2024-05-13 02:06:58
60,56,2,27,2024-05-13 02:06:58,2024-05-13 02:06:58
61,57,1,28,2024-05-13 02:06:58,2024-05-13 02:06:58
62,58,2,28,2024-05-13 02:06:58,2024-05-13 02:06:58
63,59,1,29,2024-05-13 02:06:58,2024-05-13 02:06:58
64,60,2,29,2024-05-13 02:06:58,2024-05-13 02:06:58
65,61,1,1,2024-05-13 02:06:58,2024-05-13 02:06:58
66,61,2,29,2024-05-13 02:06:58,2024-05-13 02:06:58
