id,name,priority,created_at,updated_at
1,ATK上昇,1000,2024-01-28 22:09:05,2024-01-28 22:09:05
2,DEF上昇,990,2024-01-28 22:09:05,2024-01-28 22:09:05
3,HP上昇,980,2024-01-28 22:09:05,2024-01-28 22:09:05
4,気力上昇,970,2024-01-28 22:09:05,2024-01-28 22:09:05
5,ATK低下,960,2024-01-28 22:09:05,2024-01-28 22:09:05
6,DEF低下,950,2024-01-28 22:09:05,2024-01-28 22:09:05
7,全体強化,940,2024-01-28 22:09:05,2024-01-28 22:09:05
8,属性強化,930,2024-01-28 22:09:05,2024-01-28 22:09:05
9,カテゴリ強化,920,2024-01-28 22:09:05,2024-01-28 22:09:05
10,全体必殺技,910,2024-01-28 22:09:05,2024-01-28 22:09:05
11,必殺技封じ,900,2024-01-28 22:09:05,2024-01-28 22:09:05
12,気絶,890,2024-01-28 22:09:05,2024-01-28 22:09:05
13,変身,880,2024-01-28 22:09:05,2024-01-28 22:09:05
14,巨大化,870,2024-01-28 22:09:05,2024-01-28 22:09:05
15,激怒,860,2024-01-28 22:09:05,2024-01-28 22:09:05
16,カウンター,850,2024-01-28 22:09:05,2024-01-28 22:09:05
17,効果抜群攻撃,840,2024-01-28 22:09:05,2024-01-28 22:09:05
18,ダメージ軽減,830,2024-01-28 22:09:05,2024-01-28 22:09:05
19,ガード,820,2024-01-28 22:09:05,2024-01-28 22:09:05
20,ガード無効化,810,2024-01-28 22:09:05,2024-01-28 22:09:05
21,必殺技察知,800,2024-01-28 22:09:05,2024-01-28 22:09:05
22,会心,790,2024-01-28 22:09:05,2024-01-28 22:09:05
23,気玉変化,780,2024-01-28 22:09:05,2024-01-28 22:09:05
24,気玉ATK上昇,770,2024-01-28 22:09:05,2024-01-28 22:09:05
25,気玉DEF上昇,760,2024-01-28 22:09:05,2024-01-28 22:09:05
26,気玉回復,750,2024-01-28 22:09:05,2024-01-28 22:09:05
27,気玉気力上昇,740,2024-01-28 22:09:05,2024-01-28 22:09:05
28,連続攻撃,730,2024-01-28 22:09:05,2024-01-28 22:09:05
29,回避,720,2024-01-28 22:09:05,2024-01-28 22:09:05
30,回復,710,2024-01-28 22:09:05,2024-01-28 22:09:05
31,状態異常無効化,700,2024-01-28 22:09:05,2024-01-28 22:09:05
32,アンチK.O.,690,2024-01-28 22:09:05,2024-01-28 22:09:05
33,必中,725,2024-01-28 22:09:05,2024-01-28 22:09:05
34,状態異常回復,705,2024-01-28 22:09:05,2024-01-28 22:09:05
35,気玉ダメージ軽減率上昇,739,2024-01-28 22:09:05,2024-01-28 22:09:05
36,気玉会心率上昇,738,2024-01-28 22:09:05,2024-01-28 22:09:05
37,気玉回避率上昇,737,2024-01-28 22:09:05,2024-01-28 22:09:05
38,足止め,885,2024-01-28 22:09:05,2024-01-28 22:09:05
39,復活,680,2024-01-28 22:09:05,2024-01-28 22:09:05
40,吸収/無効,825,2024-01-28 22:09:05,2024-01-28 22:09:05
41,行動無効化,888,2024-01-28 22:09:05,2024-01-28 22:09:05
42,ターゲット集中,795,2024-01-28 22:09:05,2024-01-28 22:09:05
